District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
BENGALURU,Bengaluru Urban,71.0,10,TotalNPK,97,36.61971830985916,26.0,0.03568355814801312,0.9643164418519868,0.0340340871410571,0.9659659128589428
BENGALURU(R),Bengaluru Rural,206.0,10,TotalNPK,242,17.475728155339805,36.0,0.16460517681370762,0.8353948231862924,0.16913323164666091,0.8308667683533391
RAMANAGARA,Ramanagara,4830.0,10,TotalNPK,5084,5.25879917184265,254.0,0.07478235508567264,0.9252176449143273,0.07710060348829496,0.922899396511705
CHITRADURGA,Chitradurga,68575.0,10,TotalNPK,75395,9.945315348158951,6820.0,0.6908377688662048,0.30916223113379515,0.6943325154187944,0.30566748458120563
DAVANAGERE,Davanagere,16592.0,10,TotalNPK,18374,10.740115718418515,1782.0,0.09081540891967432,0.9091845910803257,0.08360633994296707,0.9163936600570329
KOLAR,Kolar,5810.0,10,TotalNPK,7619,31.135972461273663,1809.0,0.031221290557783443,0.9687787094422166,0.04303998938921679,0.9569600106107832
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,TotalNPK,8506,19.265283230510374,1374.0,0.11785636164783082,0.8821436383521691,0.11497667838273981,0.8850233216172602
SHIVAMOGGA,Shivamogga,248.0,10,TotalNPK,276,11.29032258064516,28.0,0.13129566168428727,0.8687043383157127,0.12837721334305985,0.8716227866569402
TUMAKURU,Tumakuru,39626.0,10,TotalNPK,43663,10.187755514056427,4037.0,0.39828758918806306,0.6017124108119369,0.39836290773355565,0.6016370922664444
CHIKKAMAGALURU,Chikkamagaluru,3909.0,10,TotalNPK,4512,15.425940138142746,603.0,0.21211811884797666,0.7878818811520234,0.20915748486542307,0.7908425151345769
DAKSHINA KANNADA,Dakshina Kannada,0.0,10,TotalNPK,0,,0.0,0.02952242070725483,0.9704775792927451,0.029275814046024275,0.9707241859539757
UDUPI,Udupi,3623.0,10,TotalNPK,3711,2.428926304167817,88.0,0.023733138899015675,0.9762668611009844,0.020160488096027593,0.9798395119039724
HASSAN,Hassan,521.0,10,TotalNPK,551,5.758157389635317,30.0,0.10607607242678335,0.8939239275732167,0.10683732342993567,0.8931626765700643
KODAGU,Kodagu,45.0,10,TotalNPK,55,22.22222222222222,10.0,0.012424352898286549,0.9875756471017134,0.011861971395096935,0.9881380286049031
MANDYA,Mandya,1021.0,10,TotalNPK,1109,8.619000979431929,88.0,0.14847685016405396,0.851523149835946,0.1470230121360833,0.8529769878639167
MYSURU,Mysuru,2170.0,10,TotalNPK,2297,5.852534562211981,127.0,0.006467371491068172,0.9935326285089319,0.006303468399761255,0.9936965316002387
CHAMARAJANAGAR,Chamarajanagara,8867.0,10,TotalNPK,9374,5.717830156761024,507.0,0.09031474055170738,0.9096852594482926,0.08679620664500298,0.913203793354997
BELAGAVI,Belagavi,39530.0,10,TotalNPK,42601,7.768783202630914,3071.0,0.2576536638716733,0.7423463361283267,0.2590277869885271,0.7409722130114729
VIJAYAPURA,Vijayapura,27528.0,10,TotalNPK,28704,4.272013949433305,1176.0,0.032545388261028096,0.967454611738972,0.017738576828702113,0.9822614231712978
BAGALKOT,Bagalkote,25444.0,10,TotalNPK,27596,8.45778965571451,2152.0,0.0819832300401021,0.9180167699598979,0.06848730021884741,0.9315126997811526
DHARAWAD,Dharwad,21178.0,10,TotalNPK,22576,6.601189914061763,1398.0,0.030200510390083868,0.9697994896099161,0.026463956495788865,0.9735360435042111
GADAG,Gadag,31332.0,10,TotalNPK,32506,3.746967956083237,1174.0,0.08125410134888805,0.9187458986511119,0.0674428959859028,0.9325571040140972
HAVERI,Haveri,18309.0,10,TotalNPK,19202,4.877382707957835,893.0,0.0189802614447164,0.9810197385552836,0.015207526076947142,0.9847924739230529
UTTARA KANNADA,Uttara Kannada,3825.0,10,TotalNPK,3976,3.947712418300654,151.0,0.18596573095151295,0.8140342690484871,0.18167252470322967,0.8183274752967703
BALLARI,Ballari,22938.5,10,TotalNPK,24340,6.109815375896418,1401.5,0.11273787823550857,0.8872621217644914,0.11259556810322768,0.8874044318967723
BIDAR,Bidar,261.0,10,TotalNPK,278,6.513409961685824,17.0,0.04160408312067079,0.9583959168793292,0.03912726308110617,0.9608727369188939
KALABURAGI,Kalaburagi,3114.0,10,TotalNPK,3228,3.6608863198458574,114.0,0.24246931583424478,0.7575306841657552,0.2387956761058425,0.7612043238941575
YADGIRI,Yadgir,31435.0,10,TotalNPK,34714,10.43104819468745,3279.0,0.17841779074006564,0.8215822092599343,0.1923911842076177,0.8076088157923823
RAICHUR,Raichur,26958.0,10,TotalNPK,28694,6.439646858075525,1736.0,0.007400656215822088,0.9925993437841779,0.00842761456329999,0.9915723854367
KOPPAL,Koppal,29982.0,10,TotalNPK,31293,4.3726235741444865,1311.0,0.0592023332118119,0.9407976667881881,0.050372040586245836,0.9496279594137542
VIJAYANAGARA,Vijayanagara,22938.5,10,TotalNPK,24340,6.109815375896418,1401.5,0.12175841536031112,0.8782415846396889,0.12173663151844727,0.8782633684815527
