District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
BENGALURU,2879,10,TotalNPK,3894,35.2552969781174,1015,0.03982434326688501,0.960175656733115,0.04041898059895056,0.9595810194010495
BENGALURU(R),42583,10,TotalNPK,49619,16.523025620552804,7036,0.008581672125402659,0.9914183278745974,0.010181148935323195,0.9898188510646768
RAMANAGARA,10450,10,TotalNPK,10965,4.92822966507177,515,0.07660864232474762,0.9233913576752524,0.0783660920305799,0.9216339079694201
CHITRADURGA,271975,10,TotalNPK,297241,9.289824432392683,25266,0.14489911447171566,0.8551008855282843,0.13772647444760372,0.8622735255523963
DAVANAGERE,593544,10,TotalNPK,653109,10.035481783995795,59565,0.6682534628154498,0.33174653718455016,0.6692815951599707,0.33071840484002935
KOLAR,1759,10,TotalNPK,2270,29.050596930073908,511,0.12177361745717251,0.8782263825428275,0.12981447201003202,0.870185527989968
CHIKKABALLAPURA,105491,10,TotalNPK,124487,18.0072233650264,18996,0.11527536290485627,0.8847246370951437,0.1267476026206958,0.8732523973793043
SHIVAMOGGA,226532,10,TotalNPK,250699,10.668249960270513,24167,0.013504980254201882,0.9864950197457981,0.018422346040247506,0.9815776539597525
TUMAKURU,66868,10,TotalNPK,73232,9.517257881198779,6364,0.09076231681463982,0.9092376831853601,0.09522147145422892,0.9047785285457711
CHIKKAMAGALURU,61353,10,TotalNPK,76954,25.428259416817433,15601,0.2559670627379171,0.7440329372620829,0.2410986746250845,0.7589013253749155
DAKSHINA KANNADA,0,10,TotalNPK,0,,0,0.17408987370776222,0.8259101262922378,0.1792384578990643,0.8207615421009357
UDUPI,109,10,TotalNPK,113,3.669724770642202,4,0.13121899977086787,0.8687810002291321,0.13490933366405913,0.8650906663359409
HASSAN,333937,10,TotalNPK,366530,9.760224233912385,32593,0.47762227119359874,0.5223777288064013,0.4725461855014502,0.5274538144985498
KODAGU,17921,10,TotalNPK,24652,37.559287986161486,6731,0.23437071781255195,0.7656292821874481,0.2261046777796662,0.7738953222203337
MANDYA,19387,10,TotalNPK,22158,14.293082993758704,2771,0.2019597536155702,0.7980402463844298,0.1997234764794238,0.8002765235205762
MYSURU,137154,10,TotalNPK,150439,9.686192163553379,13285,0.012419045597293538,0.9875809544027064,0.010176708635158904,0.989823291364841
CHAMARAJANAGAR,147886,10,TotalNPK,161830,9.428884410965203,13944,0.15537573176265507,0.8446242682373449,0.15409781011541207,0.845902189884588
BELAGAVI,576758,10,TotalNPK,631048,9.412960028296096,54290,0.7253265132829243,0.2746734867170757,0.7263173528461558,0.27368264715384416
VIJAYAPURA,226327,10,TotalNPK,238042,5.176138949396228,11715,0.09608756890811804,0.903912431091882,0.08021815654048553,0.9197818434595144
BAGALKOT,251699,10,TotalNPK,277490,10.246762998661099,25791,0.04244302023101909,0.9575569797689809,0.0508735907788746,0.9491264092211253
DHARAWAD,90634,10,TotalNPK,97883,7.998102257430986,7249,0.33286201191487064,0.6671379880851294,0.32438612850228676,0.6756138714977132
GADAG,138476,10,TotalNPK,144762,4.5394147722349,6286,0.18330281447421884,0.8166971855257812,0.19047750288017998,0.80952249711982
HAVERI,413487,10,TotalNPK,437919,5.908771013357131,24432,0.38823575000336963,0.6117642499966304,0.3632255215329404,0.6367744784670596
UTTARA KANNADA,24088,10,TotalNPK,25241,4.786615742278313,1153,0.3999973043279016,0.6000026956720984,0.3954797744327516,0.6045202255672484
BALLARI,104045,10,TotalNPK,116579,12.046710557931664,12534,0.23687905674582324,0.7631209432541768,0.22770756051877578,0.7722924394812243
BIDAR,2791,10,TotalNPK,3162,13.292726621282695,371,0.019931125577884706,0.9800688744221153,0.019166785329860714,0.9808332146701393
KALABURAGI,14621,10,TotalNPK,15680,7.243006634293141,1059,0.1055400554409895,0.8944599445590105,0.1007417342791683,0.8992582657208317
YADGIRI,2673,10,TotalNPK,3222,20.53872053872054,549,0.13121857857210248,0.8687814214278975,0.12497658634827165,0.8750234136517283
RAICHUR,723,10,TotalNPK,814,12.586445366528354,91,0.25992377987141646,0.7400762201285835,0.2565933098456766,0.7434066901543235
KOPPAL,190252,10,TotalNPK,206654,8.621197149044425,16402,0.11870122518296872,0.8812987748170313,0.11546189074105548,0.8845381092589445
VIJAYANAGARA,104045,10,TotalNPK,116579,12.046710557931664,12534,0.3053716320946721,0.6946283679053279,0.29520085212932806,0.7047991478706719
BENGALURU,2879,10,SowingSeedsDistributed_Maize,2911,1.1114970475859673,32,0.03982434326688501,0.960175656733115,0.03923951704727881,0.9607604829527212
BENGALURU(R),42583,10,SowingSeedsDistributed_Maize,43571,2.320174717610314,988,0.008581672125402659,0.9914183278745974,0.003103577352154857,0.9968964226478452
RAMANAGARA,10450,10,SowingSeedsDistributed_Maize,12359,18.267942583732058,1909,0.07660864232474762,0.9233913576752524,0.07553238975142876,0.9244676102485713
CHITRADURGA,271975,10,SowingSeedsDistributed_Maize,308697,13.501976284584979,36722,0.14489911447171566,0.8551008855282843,0.1647386250976916,0.8352613749023083
DAVANAGERE,593544,10,SowingSeedsDistributed_Maize,638489,7.572311404040813,44945,0.6682534628154498,0.33174653718455016,0.6541535301835009,0.34584646981649914
KOLAR,1759,10,SowingSeedsDistributed_Maize,2136,21.43263217737351,377,0.12177361745717251,0.8782263825428275,0.13371726059493586,0.8662827394050642
CHIKKABALLAPURA,105491,10,SowingSeedsDistributed_Maize,131455,24.61252618706809,25964,0.11527536290485627,0.8847246370951437,0.14083040845913816,0.8591695915408618
SHIVAMOGGA,226532,10,SowingSeedsDistributed_Maize,254521,12.355428813589251,27989,0.013504980254201882,0.9864950197457981,0.022011655643245198,0.9779883443567547
TUMAKURU,66868,10,SowingSeedsDistributed_Maize,78902,17.996650116647725,12034,0.09076231681463982,0.9092376831853601,0.09039936475021497,0.9096006352497851
CHIKKAMAGALURU,61353,10,SowingSeedsDistributed_Maize,71895,17.18253386142487,10542,0.2559670627379171,0.7440329372620829,0.2558659137879767,0.7441340862120234
DAKSHINA KANNADA,0,10,SowingSeedsDistributed_Maize,0,,0,0.17408987370776222,0.8259101262922378,0.17891185282753502,0.8210881471724649
UDUPI,109,10,SowingSeedsDistributed_Maize,109,0.0,0,0.13121899977086787,0.8687810002291321,0.13950866812114224,0.8604913318788577
HASSAN,333937,10,SowingSeedsDistributed_Maize,366120,9.637446584235947,32183,0.47762227119359874,0.5223777288064013,0.4860530095271806,0.5139469904728193
KODAGU,17921,10,SowingSeedsDistributed_Maize,18809,4.955080631661179,888,0.23437071781255195,0.7656292821874481,0.2362452602942259,0.7637547397057741
MANDYA,19387,10,SowingSeedsDistributed_Maize,22250,14.76762779181926,2863,0.2019597536155702,0.7980402463844298,0.20180519946310743,0.7981948005368926
MYSURU,137154,10,SowingSeedsDistributed_Maize,142827,4.136226431602432,5673,0.012419045597293538,0.9875809544027064,0.0034593391585446,0.9965406608414554
CHAMARAJANAGAR,147886,10,SowingSeedsDistributed_Maize,155294,5.009263892457704,7408,0.15537573176265507,0.8446242682373449,0.15058782009817973,0.8494121799018203
BELAGAVI,576758,10,SowingSeedsDistributed_Maize,627159,8.738673759184962,50401,0.7253265132829243,0.2746734867170757,0.7314030468809957,0.26859695311900433
VIJAYAPURA,226327,10,SowingSeedsDistributed_Maize,237705,5.0272393483764635,11378,0.09608756890811804,0.903912431091882,0.08361490957557605,0.916385090424424
BAGALKOT,251699,10,SowingSeedsDistributed_Maize,275781,9.567777384892272,24082,0.04244302023101909,0.9575569797689809,0.04649101237452796,0.9535089876254721
DHARAWAD,90634,10,SowingSeedsDistributed_Maize,101115,11.564092945252334,10481,0.33286201191487064,0.6671379880851294,0.34082458742437227,0.6591754125756277
GADAG,138476,10,SowingSeedsDistributed_Maize,155911,12.590629423149139,17435,0.18330281447421884,0.8166971855257812,0.18154849071121718,0.8184515092887829
HAVERI,413487,10,SowingSeedsDistributed_Maize,461522,11.617052047585535,48035,0.38823575000336963,0.6117642499966304,0.4076631368299667,0.5923368631700333
UTTARA KANNADA,24088,10,SowingSeedsDistributed_Maize,30319,25.86765194287612,6231,0.3999973043279016,0.6000026956720984,0.4049657864113556,0.5950342135886444
BALLARI,104045,10,SowingSeedsDistributed_Maize,114140,9.702532558027777,10095,0.23687905674582324,0.7631209432541768,0.2437650229123536,0.7562349770876464
BIDAR,2791,10,SowingSeedsDistributed_Maize,2877,3.081332855607309,86,0.019931125577884706,0.9800688744221153,0.01930495278697049,0.9806950472130295
KALABURAGI,14621,10,SowingSeedsDistributed_Maize,15203,3.9805758840024623,582,0.1055400554409895,0.8944599445590105,0.10318423653344067,0.8968157634665593
YADGIRI,2673,10,SowingSeedsDistributed_Maize,2673,0.0,0,0.13121857857210248,0.8687814214278975,0.12825175270573702,0.871748247294263
RAICHUR,723,10,SowingSeedsDistributed_Maize,773,6.915629322268327,50,0.25992377987141646,0.7400762201285835,0.2616712269122882,0.7383287730877117
KOPPAL,190252,10,SowingSeedsDistributed_Maize,208937,9.82118453419675,18685,0.11870122518296872,0.8812987748170313,0.12026518859369542,0.8797348114063046
VIJAYANAGARA,104045,10,SowingSeedsDistributed_Maize,114140,9.702532558027777,10095,0.3053716320946721,0.6946283679053279,0.3139850490768048,0.6860149509231952
BENGALURU,2879,10,LivestockCensus_2012_Cattle,3812,32.407085793678355,933,0.03982434326688501,0.960175656733115,0.04485876289789205,0.955141237102108
BENGALURU(R),42583,10,LivestockCensus_2012_Cattle,51689,21.38412042364324,9106,0.008581672125402659,0.9914183278745974,0.008366081810939952,0.9916339181890601
RAMANAGARA,10450,10,LivestockCensus_2012_Cattle,13261,26.89952153110048,2811,0.07660864232474762,0.9233913576752524,0.08025153334867074,0.9197484666513293
