District,Original Rice Production Value,Perturbation,Factor,New Rice Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
BENGALURU,3376.0,10,TotalNPK,4536,34.360189573459714,1160.0,0.007851589718378814,0.9921484102816212,0.0059289604264459,0.9940710395735541
BENGALURU(R),2354.0,10,TotalNPK,2733,16.100254885301617,379.0,0.013544957207312441,0.9864550427926876,0.013518885939867255,0.9864811140601327
RAMANAGARA,12128.0,10,TotalNPK,12710,4.7988126649076515,582.0,0.10707049366489452,0.8929295063351055,0.10507223448568523,0.8949277655143147
CHITRADURGA,4566.0,10,TotalNPK,4979,9.045116075339465,413.0,0.41258163926566815,0.5874183607343318,0.4132002427048939,0.586799757295106
DAVANAGERE,489505.0,10,TotalNPK,537373,9.77885823433877,47868.0,0.6430597567259921,0.35694024327400786,0.6486437188941292,0.3513562811058708
KOLAR,864.0,10,TotalNPK,1108,28.240740740740737,244.0,0.0033762851518617312,0.9966237148481383,0.003432115217820197,0.9965678847821798
CHIKKABALLAPURA,2698.0,10,TotalNPK,3171,17.53150481838399,473.0,0.01433262164546839,0.9856673783545316,0.014136071084243168,0.9858639289157568
SHIVAMOGGA,384974.0,10,TotalNPK,424993,10.395247471257798,40019.0,0.36902390418013353,0.6309760958198665,0.38268382476111074,0.6173161752388893
TUMAKURU,26042.0,10,TotalNPK,28457,9.273481299439368,2415.0,0.09873849287204503,0.9012615071279549,0.09565944312946795,0.904340556870532
CHIKKAMAGALURU,110533.0,10,TotalNPK,123100,11.369455275799988,12567.0,0.15839722514284782,0.8416027748571522,0.15020954834235864,0.8497904516576413
DAKSHINA KANNADA,132588.0,10,TotalNPK,140198,5.739584276103418,7610.0,0.026233755944557458,0.9737662440554425,0.0215279613161157,0.9784720386838843
UDUPI,138156.0,10,TotalNPK,140654,1.8081009872897305,2498.0,0.11602272796527019,0.8839772720347299,0.13368451714010254,0.8663154828598975
HASSAN,143705.0,10,TotalNPK,149976,4.363800842002714,6271.0,0.03182822522923329,0.9681717747707668,0.03864014532513893,0.9613598546748611
KODAGU,86303.0,10,TotalNPK,100796,16.793158986362002,14493.0,0.25163752538477535,0.7483624746152246,0.2217064536422485,0.7782935463577515
MANDYA,246543.0,10,TotalNPK,262300,6.391177198298066,15757.0,0.2643972559049439,0.7356027440950561,0.2616894791895443,0.7383105208104557
MYSURU,354227.0,10,TotalNPK,369568,4.330838699478019,15341.0,0.4542855662794028,0.5457144337205972,0.42687910169409504,0.573120898305905
CHAMARAJANAGAR,45856.0,10,TotalNPK,47789,4.215369853454292,1933.0,0.32187116350470046,0.6781288364952995,0.3109569595876498,0.6890430404123502
BELAGAVI,177552.0,10,TotalNPK,197287,11.115053618094981,19735.0,0.28167278474455415,0.7183272152554459,0.29023559498062457,0.7097644050193754
VIJAYAPURA,170.0,10,TotalNPK,180,5.88235294117647,10.0,0.36634359694224766,0.6336564030577523,0.37062563514605107,0.6293743648539489
BAGALKOT,85.0,10,TotalNPK,95,11.76470588235294,10.0,0.3739518178512444,0.6260481821487556,0.3712178797568484,0.6287821202431516
DHARAWAD,33989.0,10,TotalNPK,37199,9.444231957397982,3210.0,0.16620230895650037,0.8337976910434997,0.1637597295999464,0.8362402704000536
GADAG,7258.0,10,TotalNPK,7647,5.359603196472857,389.0,0.27336997892216003,0.72663002107784,0.27093662073318786,0.7290633792668122
HAVERI,125422.0,10,TotalNPK,134172,6.976447513195453,8750.0,0.1749910543244107,0.8250089456755894,0.1796404415272114,0.8203595584727886
UTTARA KANNADA,152981.0,10,TotalNPK,161628,5.652335910995483,8647.0,0.03867410722447828,0.9613258927755217,0.046964513715432255,0.9530354862845678
BALLARI,206115.5,10,TotalNPK,222991,8.187399783131303,16875.5,0.036538695379504216,0.9634613046204958,0.036911457915109636,0.9630885420848904
BIDAR,2036.0,10,TotalNPK,2220,9.037328094302556,184.0,0.011888099102704483,0.9881119008972955,0.011271632190411668,0.9887283678095883
KALABURAGI,7888.0,10,TotalNPK,8276,4.918864097363083,388.0,0.1375981787291327,0.8624018212708673,0.1449491697035799,0.8550508302964202
YADGIRI,224659.0,10,TotalNPK,256062,13.978073435740388,31403.0,0.11753819651117203,0.882461803488828,0.13953359961385603,0.860466400386144
RAICHUR,492342.0,10,TotalNPK,534825,8.628758058422804,42483.0,0.7261148140097551,0.2738851859902449,0.7210512993273501,0.2789487006726499
KOPPAL,243505.0,10,TotalNPK,257772,5.859017268639247,14267.0,0.12416644151327455,0.8758335584867254,0.11178979969401309,0.8882102003059869
VIJAYANAGARA,206115.5,10,TotalNPK,222991,8.187399783131303,16875.5,0.0542810970692138,0.9457189029307862,0.05366929845132934,0.9463307015486706
BENGALURU,3376.0,10,AreaUnderCereals_Paddy,3703,9.68601895734597,327.0,0.007851589718378814,0.9921484102816212,0.008527083210473551,0.9914729167895264
BENGALURU(R),2354.0,10,AreaUnderCereals_Paddy,2662,13.084112149532709,308.0,0.013544957207312441,0.9864550427926876,0.014397077902930943,0.985602922097069
RAMANAGARA,12128.0,10,AreaUnderCereals_Paddy,13998,15.4188654353562,1870.0,0.10707049366489452,0.8929295063351055,0.10618660435218492,0.893813395647815
CHITRADURGA,4566.0,10,AreaUnderCereals_Paddy,5108,11.870346035917652,542.0,0.41258163926566815,0.5874183607343318,0.4100054549743469,0.5899945450256532
DAVANAGERE,489505.0,10,AreaUnderCereals_Paddy,530633,8.401957079090101,41128.0,0.6430597567259921,0.35694024327400786,0.624662135597885,0.37533786440211503
KOLAR,864.0,10,AreaUnderCereals_Paddy,1029,19.09722222222222,165.0,0.0033762851518617312,0.9966237148481383,0.0035558692575337622,0.9964441307424662
CHIKKABALLAPURA,2698.0,10,AreaUnderCereals_Paddy,3255,20.644922164566346,557.0,0.01433262164546839,0.9856673783545316,0.01493483517131568,0.9850651648286843
SHIVAMOGGA,384974.0,10,AreaUnderCereals_Paddy,430856,11.918207463361162,45882.0,0.36902390418013353,0.6309760958198665,0.38127948634782094,0.6187205136521791
TUMAKURU,26042.0,10,AreaUnderCereals_Paddy,30386,16.68074648644497,4344.0,0.09873849287204503,0.9012615071279549,0.09657331780385682,0.9034266821961432
CHIKKAMAGALURU,110533.0,10,AreaUnderCereals_Paddy,123743,11.951181999945717,13210.0,0.15839722514284782,0.8416027748571522,0.1583993441393778,0.8416006558606222
DAKSHINA KANNADA,132588.0,10,AreaUnderCereals_Paddy,152057,14.683832624370229,19469.0,0.026233755944557458,0.9737662440554425,0.031343987733679274,0.9686560122663207
UDUPI,138156.0,10,AreaUnderCereals_Paddy,157993,14.358406439097832,19837.0,0.11602272796527019,0.8839772720347299,0.11285853556053549,0.8871414644394645
HASSAN,143705.0,10,AreaUnderCereals_Paddy,160827,11.914686336592323,17122.0,0.03182822522923329,0.9681717747707668,0.030841184073440664,0.9691588159265594
KODAGU,86303.0,10,AreaUnderCereals_Paddy,97633,13.12816472196795,11330.0,0.25163752538477535,0.7483624746152246,0.25285096125493894,0.747149038745061
MANDYA,246543.0,10,AreaUnderCereals_Paddy,269930,9.48597202110788,23387.0,0.2643972559049439,0.7356027440950561,0.258524871734387,0.741475128265613
MYSURU,354227.0,10,AreaUnderCereals_Paddy,391624,10.55735446479235,37397.0,0.4542855662794028,0.5457144337205972,0.4545965530459398,0.5454034469540602
CHAMARAJANAGAR,45856.0,10,AreaUnderCereals_Paddy,51406,12.103105373342638,5550.0,0.32187116350470046,0.6781288364952995,0.32025490947691215,0.6797450905230878
BELAGAVI,177552.0,10,AreaUnderCereals_Paddy,193560,9.01595025682617,16008.0,0.28167278474455415,0.7183272152554459,0.27617834817479503,0.723821651825205
VIJAYAPURA,170.0,10,AreaUnderCereals_Paddy,183,7.647058823529412,13.0,0.36634359694224766,0.6336564030577523,0.3654136197440585,0.6345863802559415
BAGALKOT,85.0,10,AreaUnderCereals_Paddy,93,9.411764705882353,8.0,0.3739518178512444,0.6260481821487556,0.37203957067877574,0.6279604293212242
DHARAWAD,33989.0,10,AreaUnderCereals_Paddy,40240,18.39124422607314,6251.0,0.16620230895650037,0.8337976910434997,0.160220521023766,0.8397794789762341
GADAG,7258.0,10,AreaUnderCereals_Paddy,7704,6.144943510608983,446.0,0.27336997892216003,0.72663002107784,0.27275003369868317,0.7272499663013168
HAVERI,125422.0,10,AreaUnderCereals_Paddy,137179,9.37395353287302,11757.0,0.1749910543244107,0.8250089456755894,0.17708315781935824,0.8229168421806418
UTTARA KANNADA,152981.0,10,AreaUnderCereals_Paddy,170275,11.304671821990967,17294.0,0.03867410722447828,0.9613258927755217,0.03997353600283071,0.9600264639971693
BALLARI,206115.5,10,AreaUnderCereals_Paddy,226586,9.931567494923963,20470.5,0.036538695379504216,0.9634613046204958,0.034097275461461296,0.9659027245385388
BIDAR,2036.0,10,AreaUnderCereals_Paddy,2712,33.20235756385069,676.0,0.011888099102704483,0.9881119008972955,0.012920549035796428,0.9870794509642036
KALABURAGI,7888.0,10,AreaUnderCereals_Paddy,9723,23.263184584178497,1835.0,0.1375981787291327,0.8624018212708673,0.1351205745906312,0.8648794254093688
YADGIRI,224659.0,10,AreaUnderCereals_Paddy,246233,9.602998321901191,21574.0,0.11753819651117203,0.882461803488828,0.11430628452359892,0.8856937154764011
RAICHUR,492342.0,10,AreaUnderCereals_Paddy,542717,10.231708852789321,50375.0,0.7261148140097551,0.2738851859902449,0.727870864539718,0.27212913546028195
KOPPAL,243505.0,10,AreaUnderCereals_Paddy,265689,9.110285209749286,22184.0,0.12416644151327455,0.8758335584867254,0.11969946039983487,0.8803005396001651
VIJAYANAGARA,206115.5,10,AreaUnderCereals_Paddy,226586,9.931567494923963,20470.5,0.0542810970692138,0.9457189029307862,0.05731931011774877,0.9426806898822513
BENGALURU,3376.0,10,NetAreaIrrigated_Canals_NetAreaIrrigated,3376,0.0,0.0,0.007851589718378814,0.9921484102816212,0.007864772316001446,0.9921352276839985
