District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
BENGALURU,Bengaluru Urban,71.0,10,TotalNPK,75,5.633802816901409,4.0,0.03568355814801312,0.9643164418519868,0.035378880206466415,0.9646211197935336
BENGALURU(R),Bengaluru Rural,206.0,10,TotalNPK,212,2.912621359223301,6.0,0.16460517681370762,0.8353948231862924,0.16543981647429923,0.8345601835257008
RAMANAGARA,Ramanagara,4830.0,10,TotalNPK,4873,0.8902691511387164,43.0,0.07478235508567264,0.9252176449143273,0.0755495017563983,0.9244504982436017
CHITRADURGA,Chitradurga,68575.0,10,TotalNPK,69745,1.7061611374407581,1170.0,0.6908377688662048,0.30916223113379515,0.6880091762850383,0.3119908237149617
DAVANAGERE,Davanagere,16592.0,10,TotalNPK,16897,1.8382352941176472,305.0,0.09081540891967432,0.9091845910803257,0.09299830334313094,0.907001696656869
KOLAR,Kolar,5810.0,10,TotalNPK,6120,5.335628227194492,310.0,0.031221290557783443,0.9687787094422166,0.033414581690443756,0.9665854183095562
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,TotalNPK,7367,3.295008412787437,235.0,0.11785636164783082,0.8821436383521691,0.11732740698257937,0.8826725930174206
SHIVAMOGGA,Shivamogga,248.0,10,TotalNPK,252,1.6129032258064515,4.0,0.13129566168428727,0.8687043383157127,0.1320065954548713,0.8679934045451287
TUMAKURU,Tumakuru,39626.0,10,TotalNPK,40318,1.7463281683742997,692.0,0.39828758918806306,0.6017124108119369,0.3980090738711428,0.6019909261288572
CHIKKAMAGALURU,Chikkamagaluru,3909.0,10,TotalNPK,4130,5.653619851624456,221.0,0.21211811884797666,0.7878818811520234,0.20992595475354098,0.790074045246459
DAKSHINA KANNADA,Dakshina Kannada,0.0,10,TotalNPK,0,,0.0,0.02952242070725483,0.9704775792927451,0.029984228260090326,0.9700157717399097
UDUPI,Udupi,3623.0,10,TotalNPK,3655,0.883245928788297,32.0,0.023733138899015675,0.9762668611009844,0.022739981360671013,0.977260018639329
HASSAN,Hassan,521.0,10,TotalNPK,532,2.111324376199616,11.0,0.10607607242678335,0.8939239275732167,0.10651420651420651,0.8934857934857935
KODAGU,Kodagu,45.0,10,TotalNPK,48,6.666666666666667,3.0,0.012424352898286549,0.9875756471017134,0.012445336583267618,0.9875546634167324
MANDYA,Mandya,1021.0,10,TotalNPK,1053,3.1341821743388834,32.0,0.14847685016405396,0.851523149835946,0.148331780055918,0.851668219944082
MYSURU,Mysuru,2170.0,10,TotalNPK,2216,2.1198156682027647,46.0,0.006467371491068172,0.9935326285089319,0.006530934117141014,0.993469065882859
CHAMARAJANAGAR,Chamarajanagara,8867.0,10,TotalNPK,9053,2.0976655012969436,186.0,0.09031474055170738,0.9096852594482926,0.09088823571582193,0.9091117642841781
BELAGAVI,Belagavi,39530.0,10,TotalNPK,40938,3.561851758158361,1408.0,0.2576536638716733,0.7423463361283267,0.2655645565990393,0.7344354434009607
VIJAYAPURA,Vijayapura,27528.0,10,TotalNPK,28067,1.9580063934902643,539.0,0.032545388261028096,0.967454611738972,0.024586708724639805,0.9754132912753601
BAGALKOT,Bagalkote,25444.0,10,TotalNPK,26431,3.879107058638579,987.0,0.0819832300401021,0.9180167699598979,0.078494515735895,0.9215054842641051
DHARAWAD,Dharwad,21178.0,10,TotalNPK,21819,3.026725847577675,641.0,0.030200510390083868,0.9697994896099161,0.029192056778263642,0.9708079432217364
GADAG,Gadag,31332.0,10,TotalNPK,31870,1.7170943444401887,538.0,0.08125410134888805,0.9187458986511119,0.07580881373984816,0.9241911862601518
HAVERI,Haveri,18309.0,10,TotalNPK,18718,2.233874051013163,409.0,0.0189802614447164,0.9810197385552836,0.01810677672746641,0.9818932232725336
UTTARA KANNADA,Uttara Kannada,3825.0,10,TotalNPK,3894,1.803921568627451,69.0,0.18596573095151295,0.8140342690484871,0.1890085310774966,0.8109914689225034
BALLARI,Ballari,22938.5,10,TotalNPK,23727,3.4374523181550667,788.5,0.11273787823550857,0.8872621217644914,0.10962588203967516,0.8903741179603248
BIDAR,Bidar,261.0,10,TotalNPK,270,3.4482758620689653,9.0,0.04160408312067079,0.9583959168793292,0.04169474514302101,0.958305254856979
KALABURAGI,Kalaburagi,3114.0,10,TotalNPK,3178,2.0552344251766215,64.0,0.24246931583424478,0.7575306841657552,0.2489210696107248,0.7510789303892752
YADGIRI,Yadgir,31435.0,10,TotalNPK,33280,5.869254016223954,1845.0,0.17841779074006564,0.8215822092599343,0.19433173226276673,0.8056682677372333
