District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change,Initial Stress,Initial Stability,Stress,Stability
BENGALURU,Bengaluru Urban,2879,10,TotalNPK,3134,8.857242097950676,255,0.03982434326688501,0.960175656733115,0.039984980469680756,0.9600150195303192
BENGALURU(R),Bengaluru Rural,42583,10,TotalNPK,44354,4.158936664866261,1771,0.008581672125402659,0.9914183278745974,0.009014018776056162,0.9909859812239439
RAMANAGARA,Ramanagara,10450,10,TotalNPK,10579,1.2344497607655502,129,0.07660864232474762,0.9233913576752524,0.0773765448835822,0.9226234551164179
CHITRADURGA,Chitradurga,271975,10,TotalNPK,278336,2.338817906057542,6361,0.14489911447171566,0.8551008855282843,0.14153886098060775,0.8584611390193922
DAVANAGERE,Davanagere,593544,10,TotalNPK,608541,2.526687153774615,14997,0.6682534628154498,0.33174653718455016,0.6655590995512217,0.3344409004487783
KOLAR,Kolar,1759,10,TotalNPK,1887,7.2768618533257525,128,0.12177361745717251,0.8782263825428275,0.12394645553873938,0.8760535444612606
CHIKKABALLAPURA,Chikkaballapura,105491,10,TotalNPK,110273,4.533088130741011,4782,0.11527536290485627,0.8847246370951437,0.11837493283114861,0.8816250671688514
SHIVAMOGGA,Shivamogga,226532,10,TotalNPK,232616,2.685713276711458,6084,0.013504980254201882,0.9864950197457981,0.01231305696740237,0.9876869430325976
TUMAKURU,Tumakuru,66868,10,TotalNPK,68470,2.395764790333194,1602,0.09076231681463982,0.9092376831853601,0.09260439547798988,0.9073956045220102
CHIKKAMAGALURU,Chikkamagaluru,61353,10,TotalNPK,66112,7.756751911071993,4759,0.2559670627379171,0.7440329372620829,0.2509909533035337,0.7490090466964663
DAKSHINA KANNADA,Dakshina Kannada,0,10,TotalNPK,0,,0,0.17408987370776222,0.8259101262922378,0.1766828364892423,0.8233171635107577
UDUPI,Udupi,109,10,TotalNPK,110,0.9174311926605505,1,0.13121899977086787,0.8687810002291321,0.13268374686339948,0.8673162531366005
HASSAN,Hassan,333937,10,TotalNPK,343879,2.9772082758125036,9942,0.47762227119359874,0.5223777288064013,0.47854348898978594,0.5214565110102141
KODAGU,Kodagu,17921,10,TotalNPK,19974,11.45583393783829,2053,0.23437071781255195,0.7656292821874481,0.23288652695545575,0.7671134730445442
MANDYA,Mandya,19387,10,TotalNPK,20232,4.358590808273585,845,0.2019597536155702,0.7980402463844298,0.20215992020258292,0.7978400797974171
MYSURU,Mysuru,137154,10,TotalNPK,141206,2.954343292940782,4052,0.012419045597293538,0.9875809544027064,0.011749413761767885,0.9882505862382321
CHAMARAJANAGAR,Chamarajanagara,147886,10,TotalNPK,152139,2.8758638410667676,4253,0.15537573176265507,0.8446242682373449,0.15578243700917443,0.8442175629908255
BELAGAVI,Belagavi,576758,10,TotalNPK,604933,4.885064446440275,28175,0.7253265132829243,0.2746734867170757,0.744848744784657,0.255151255215343
VIJAYAPURA,Vijayapura,226327,10,TotalNPK,232406,2.6859367198787596,6079,0.09608756890811804,0.903912431091882,0.0898319094358474,0.9101680905641526
BAGALKOT,Bagalkote,251699,10,TotalNPK,265084,5.317859824631802,13385,0.04244302023101909,0.9575569797689809,0.04894230627024315,0.9510576937297568
DHARAWAD,Dharwad,90634,10,TotalNPK,94396,4.150760200366308,3762,0.33286201191487064,0.6671379880851294,0.3368462437206367,0.6631537562793632
GADAG,Gadag,138476,10,TotalNPK,141738,2.3556428550795805,3262,0.18330281447421884,0.8166971855257812,0.19084921382219344,0.8091507861778066
HAVERI,Haveri,413487,10,TotalNPK,426166,3.0663600064814616,12679,0.38823575000336963,0.6117642499966304,0.39046295037756584,0.6095370496224342
UTTARA KANNADA,Uttara Kannada,24088,10,TotalNPK,24686,2.4825639322484223,598,0.3999973043279016,0.6000026956720984,0.4058201501624377,0.5941798498375623
BALLARI,Ballari,104045,10,TotalNPK,108948,4.712384064587438,4903,0.23687905674582324,0.7631209432541768,0.23440585174798645,0.7655941482520136
BIDAR,Bidar,2791,10,TotalNPK,2936,5.19527051236116,145,0.019931125577884706,0.9800688744221153,0.019881980014493685,0.9801180199855063
KALABURAGI,Kalaburagi,14621,10,TotalNPK,15035,2.831543670063607,414,0.1055400554409895,0.8944599445590105,0.105785805722211,0.894214194277789
YADGIRI,Yadgir,2673,10,TotalNPK,2888,8.043396932285821,215,0.13121857857210248,0.8687814214278975,0.13120726458858156,0.8687927354114184
RAICHUR,Raichur,723,10,TotalNPK,758,4.840940525587829,35,0.25992377987141646,0.7400762201285835,0.2636482997858813,0.7363517002141187
KOPPAL,Koppal,190252,10,TotalNPK,196668,3.3723692786409605,6416,0.11870122518296872,0.8812987748170313,0.1176137680123443,0.8823862319876556
VIJAYANAGARA,Vijayanagara,104045,10,TotalNPK,108948,4.712384064587438,4903,0.3053716320946721,0.6946283679053279,0.30310447447254996,0.69689552552745
BENGALURU,Bengaluru Urban,2879,10,LivestockCensus_2012_Cattle,3027,5.140673845085099,148,0.03982434326688501,0.960175656733115,0.0408305457996518,0.9591694542003482
BENGALURU(R),Bengaluru Rural,42583,10,LivestockCensus_2012_Cattle,44031,3.4004180071859658,1448,0.008581672125402659,0.9914183278745974,0.0085781406119987,0.9914218593880013
RAMANAGARA,Ramanagara,10450,10,LivestockCensus_2012_Cattle,10897,4.277511961722488,447,0.07660864232474762,0.9233913576752524,0.07821713689937142,0.9217828631006286
CHITRADURGA,Chitradurga,271975,10,LivestockCensus_2012_Cattle,276822,1.7821490945858993,4847,0.14489911447171566,0.8551008855282843,0.14771945770913192,0.8522805422908681
DAVANAGERE,Davanagere,593544,10,LivestockCensus_2012_Cattle,598498,0.8346474734813256,4954,0.6682534628154498,0.33174653718455016,0.665022272421963,0.334977727578037
KOLAR,Kolar,1759,10,LivestockCensus_2012_Cattle,1890,7.447413303013076,131,0.12177361745717251,0.8782263825428275,0.1251967425120886,0.8748032574879114
CHIKKABALLAPURA,Chikkaballapura,105491,10,LivestockCensus_2012_Cattle,109609,3.9036505483880144,4118,0.11527536290485627,0.8847246370951437,0.11910037014882811,0.8808996298511719
SHIVAMOGGA,Shivamogga,226532,10,LivestockCensus_2012_Cattle,232588,2.6733529920717602,6056,0.013504980254201882,0.9864950197457981,0.018796052785472972,0.9812039472145271
TUMAKURU,Tumakuru,66868,10,LivestockCensus_2012_Cattle,69062,3.281091104863313,2194,0.09076231681463982,0.9092376831853601,0.09170289625027989,0.9082971037497201
CHIKKAMAGALURU,Chikkamagaluru,61353,10,LivestockCensus_2012_Cattle,63699,3.8237738985868663,2346,0.2559670627379171,0.7440329372620829,0.25632285201573657,0.7436771479842634
DAKSHINA KANNADA,Dakshina Kannada,0,10,LivestockCensus_2012_Cattle,0,,0,0.17408987370776222,0.8259101262922378,0.1774621636162527,0.8225378363837473
UDUPI,Udupi,109,10,LivestockCensus_2012_Cattle,114,4.587155963302752,5,0.13121899977086787,0.8687810002291321,0.13417881095676176,0.8658211890432382
HASSAN,Hassan,333937,10,LivestockCensus_2012_Cattle,342670,2.6151639381080862,8733,0.47762227119359874,0.5223777288064013,0.48574152851527214,0.5142584714847278
KODAGU,Kodagu,17921,10,LivestockCensus_2012_Cattle,18360,2.449640087048714,439,0.23437071781255195,0.7656292821874481,0.23854326441636675,0.7614567355836332
MANDYA,Mandya,19387,10,LivestockCensus_2012_Cattle,19894,2.615154484964151,507,0.2019597536155702,0.7980402463844298,0.20598464823608434,0.7940153517639157
MYSURU,Mysuru,137154,10,LivestockCensus_2012_Cattle,140713,2.5948933315834752,3559,0.012419045597293538,0.9875809544027064,0.012277818806412044,0.9877221811935879
CHAMARAJANAGAR,Chamarajanagara,147886,10,LivestockCensus_2012_Cattle,152535,3.143637666851494,4649,0.15537573176265507,0.8446242682373449,0.1593438908734866,0.8406561091265135
BELAGAVI,Belagavi,576758,10,LivestockCensus_2012_Cattle,585956,1.5947763186639805,9198,0.7253265132829243,0.2746734867170757,0.7305474705011545,0.26945252949884546
VIJAYAPURA,Vijayapura,226327,10,LivestockCensus_2012_Cattle,229138,1.2420082447078784,2811,0.09608756890811804,0.903912431091882,0.09530725248873012,0.9046927475112698
