District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
BENGALURU,Bengaluru Urban,71.0,2879,0.05347237266796119,0.9465276273320388,75,3135,5.633802816901409,8.891976380687739,0.9466108785497144,0.05338912145028564,10,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.1648287272605715,0.8351712727394285,212,44359,2.912621359223301,4.170678439752954,0.8343104150777034,0.16568958492229652,10,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.10705738980098825,0.8929426101990118,4873,10580,0.8902691511387164,1.244019138755981,0.8918548551009114,0.10814514489908855,10,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.7058700845529036,0.29412991544709643,69748,278354,1.7105359095880421,2.3454361614118944,0.29759111950846817,0.7024088804915318,10,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.6743961217727216,0.32560387822727843,16898,608583,1.8442622950819672,2.533763293033035,0.32798241168888087,0.6720175883111191,10,TotalNPK
KOLAR,Kolar,5810.0,1759,0.12571230207381984,0.8742876979261802,6121,1888,5.352839931153184,7.333712336554861,0.8716217189734801,0.12837828102651988,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.16485912553968798,0.835140874460312,7368,110287,3.3090297251822767,4.54635940506773,0.8333285372042651,0.16667146279573491,10,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1319883906591076,0.8680116093408924,252,232633,1.6129032258064515,2.693217735242703,0.8674206576274814,0.13257934237251856,10,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.40849822748061015,0.5915017725193898,40320,68474,1.7513753596123758,2.4017467248908297,0.5913551733568152,0.4086448266431848,10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.33243530731599663,0.6675646926840033,4130,66125,5.653619851624456,7.7779407689925515,0.6727995112670972,0.3272004887329028,10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.1765753591303179,0.8234246408696821,0,0,,,0.8207841660755398,0.17921583392446017,10,TotalNPK
UDUPI,Udupi,3623.0,109,0.13334799504629605,0.866652004953704,3655,110,0.883245928788297,0.9174311926605505,0.8653779462218805,0.13462205377811953,10,TotalNPK
HASSAN,Hassan,521.0,333937,0.4892598155189365,0.5107401844810635,532,343907,2.111324376199616,2.985593090912358,0.5097427419699421,0.490257258030058,10,TotalNPK
KODAGU,Kodagu,45.0,17921,0.23469980381950048,0.7653001961804995,48,19980,6.666666666666667,11.489314212376541,0.7667857659856513,0.23321423401434874,10,TotalNPK
MANDYA,Mandya,1021.0,19387,0.25066534885201175,0.7493346511479883,1053,20234,3.1341821743388834,4.368906999535771,0.74925863892742,0.25074136107258005,10,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.014002127965103637,0.9859978720348964,2216,141217,2.1198156682027647,2.9623634746343526,0.9865597435111267,0.013440256488873302,10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.17971747377954864,0.8202825262204514,9053,152151,2.0976655012969436,2.8839781994238805,0.8196433168526233,0.18035668314737674,10,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,0.7697297976417838,0.23027020235821616,40942,605012,3.5719706551985837,4.898761699014145,0.20916625923321852,0.7908337407667815,10,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.10144960914529635,0.8985503908547037,28068,232423,1.9616390584132521,2.693447975716552,0.9068877241347724,0.09311227586522765,10,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.09231825374290285,0.9076817462570972,26433,265121,3.886967457946864,5.33255992276489,0.9074865385345147,0.0925134614654853,10,TotalNPK
