node,Capability_1,Capability_2,stress,stability,Change_R_NPK_20,Change_M_NPK_20,Mean_Impact,Dissonance,Stability_R_M_NPK_20,SI_Score
BENGALURU,0.006744400098071134,0.005354528209202522,0.04027212042212823,0.9597278795778718,0.01925355450236967,0.17749218478638415,0.09837286964437691,0.15823863028401447,0.9597278795778718,0.01690017116588026
BENGALURU(R),0.004602108529375118,0.0728563327957745,0.016356443465264072,0.9836435565347359,0.008920985556499575,0.08320221684709861,0.04606160120179909,0.07428123129059903,0.9836435565347359,0.008025695182658561
RAMANAGARA,0.02426657663415046,0.016914938817802306,0.13178689228989457,0.8682131077101054,0.002638522427440633,0.024784688995215312,0.013711605711327972,0.02214616656777468,0.8682131077101054,0.0020951696855609904
CHITRADURGA,0.009051483325897612,0.44968086064169044,0.4336641800204717,0.5663358199795283,0.005037231712658782,0.04677635812115084,0.025906794916904813,0.04173912640849206,0.5663358199795283,0.0026091439080879
DAVANAGERE,0.9889931229627129,0.9848825399733695,0.9132592646953239,0.08674073530467608,0.005517819021256167,0.0505337430754923,0.028025781048374235,0.04501592405423613,0.08674073530467608,0.00043774644199842753
KOLAR,0.0015916462686747133,0.00318428580228681,0.12415525549287933,0.8758447445071207,0.015046296296296295,0.14610574189880615,0.08057601909755123,0.13105944560250984,0.8758447445071207,0.012052823910959139
CHIKKABALLAPURA,0.005303477907869405,0.1817317397162258,0.12033735628150406,0.8796626437184959,0.009636767976278725,0.09067124209648217,0.05015400503638045,0.08103447412020344,0.8796626437184959,0.0077531756921588625
SHIVAMOGGA,0.7780316641144056,0.3770298637359444,0.3671071505269943,0.6328928494730057,0.005865331165221547,0.05371867992160048,0.029792005543411014,0.047853348756378936,0.6328928494730057,0.003395117432392582
TUMAKURU,0.05243791172794103,0.11067920373900861,0.13572183899076895,0.864278161009231,0.005222333154135627,0.04791529580666388,0.02656881448039975,0.042692962652528255,0.864278161009231,0.004128099784134632
CHIKKAMAGALURU,0.22572437992114117,0.11194122970926018,0.2878873645691946,0.7121126354308054,0.016936118625206952,0.15513503822143987,0.0860355784233234,0.13819891959623293,0.7121126354308054,0.011030486113432584
DAKSHINA KANNADA,0.26856418233192253,0.0,0.17828302551482372,0.8217169744851762,0.008552810209068694,,,,0.8217169744851762,0.006427812011706739
UDUPI,0.2782225812804714,0.00017532525994733925,0.17648802417615303,0.8235119758238469,0.0026926083557717363,0.01834862385321101,0.010520616104491374,0.015656015497439273,0.8235119758238469,0.002028033767566983
HASSAN,0.29050357919445013,0.558862691890338,0.4733201775655288,0.5266798224344712,0.006499425907240527,0.059544165516250074,0.0330217957117453,0.053044739609009545,0.5266798224344712,0.0031307886533874906
KODAGU,0.17760722510942567,0.03479179730504542,0.3365051523624684,0.6634948476375315,0.02501651159287626,0.2291166787567658,0.12706659517482102,0.20410016716388954,0.6634948476375315,0.015180860097144326
MANDYA,0.5000140675806575,0.033291265800991614,0.33141591229766815,0.6685840877023319,0.009523693635592979,0.0871718161654717,0.04834775490053234,0.07764812252987872,0.6685840877023319,0.005823626665819044
MYSURU,0.716297091226251,0.2294360054903658,0.4512579332690889,0.5487420667309111,0.006453488864485203,0.05908686585881564,0.03277017736165042,0.05263337699433043,0.5487420667309111,0.003238880263743603
CHAMARAJANAGAR,0.09256267107182907,0.24702223471787638,0.3559134072077134,0.6440865927922865,0.00628053035589672,0.05751727682133535,0.03189890358861604,0.05123674646543863,0.6440865927922865,0.003699752323372923
BELAGAVI,0.3604536191865723,1.0,0.803029428691563,0.19697057130843698,0.010667297467784085,0.09770302275824523,0.054185160113014656,0.08703572529046115,0.19697057130843698,0.0019217098847834422
VIJAYAPURA,0.00017082062226938212,0.3766902697639743,0.37611003602044435,0.6238899639795557,0.0,0.05372315278336213,0.026861576391681064,0.05372315278336213,0.6238899639795557,0.0
BAGALKOT,0.0,0.43984369200248297,0.3775062854795782,0.6224937145204218,0.0,0.10635719649263604,0.05317859824631802,0.10635719649263604,0.6224937145204218,0.0
DHARAWAD,0.06875429563623647,0.15504123302622455,0.374138684657356,0.625861315342644,0.009061755273765041,0.08301520400732616,0.0460384796405456,0.07395344873356112,0.625861315342644,0.0051870748058170674
GADAG,0.014489608077202882,0.22902849272400172,0.3354875846689025,0.6645124153310975,0.0050978230917608156,0.04711285710159161,0.026105340096676213,0.042015034009830796,0.6645124153310975,0.0030982747890598546
HAVERI,0.25357216065980975,0.6931602615031535,0.4241629332615633,0.5758370667384367,0.006697389612667634,0.06132961858534851,0.03401350409900807,0.05463222897268087,0.5758370667384367,0.003527258224572002
UTTARA KANNADA,0.3089361291645063,0.03993625110368041,0.40700549680224113,0.5929945031977588,0.005425510357495375,0.04965127864496845,0.02753839450123191,0.04422576828747307,0.5929945031977588,0.0029425465236619522
BALLARI,0.4183135784307815,0.1798300134731934,0.2312949908408409,0.7687050091591591,0.01029277274149688,0.09425729251766063,0.052275032629578756,0.08396451977616375,0.7687050091591591,0.007236426719030406
BIDAR,0.003967057745408944,0.004868040100519816,0.022826768850547595,0.9771732311494524,0.011296660117878193,0.10426370476531709,0.05778018244159764,0.09296704464743889,0.9771732311494524,0.01009610124720849
KALABURAGI,0.015777796534551986,0.024401801269607604,0.17359905172813314,0.8264009482718668,0.006085192697768763,0.056630873401272146,0.03135803304952045,0.05054568070350338,0.8264009482718668,0.004599358007890771
YADGIRI,0.459250238144044,0.004901209744293636,0.1767507723863508,0.8232492276136492,0.017573299979079405,0.1608679386457164,0.08922061931239791,0.143294638666637,0.8232492276136492,0.01323173297626056
RAICHUR,1.0,0.001254128436019706,0.7721221179520897,0.22787788204791026,0.010848150269528092,0.09820193637621023,0.054525043322869164,0.08735378610668214,0.22787788204791026,0.0022609447008379324
KOPPAL,0.4927933793946117,0.32077414789554404,0.1679473943749196,0.8320526056250804,0.007363298494897435,0.06745264175935076,0.037407970127124095,0.060089343264453324,0.8320526056250804,0.005603446951957127
VIJAYANAGARA,0.4183135784307815,0.1798300134731934,0.30153727079373055,0.6984627292062695,0.01029277274149688,0.09425729251766063,0.052275032629578756,0.08396451977616375,0.6984627292062695,0.0065751807203700005
