District,KDG_District,Crop,Original Production,New Production,Impact,Stability,Stress,Perturbation,Factor
BENGALURU,Bengaluru Urban,Rice,3376.0,3408,0.9478672985781991,0.9592669094756032,0.04073309052439673,10,TotalNPK
BENGALURU(R),Bengaluru Rural,Rice,2354.0,2364,0.4248088360237893,0.9837620537571816,0.016237946242818425,10,TotalNPK
RAMANAGARA,Ramanagara,Rice,12128.0,12144,0.13192612137203166,0.867923589287962,0.13207641071203807,10,TotalNPK
CHITRADURGA,Chitradurga,Rice,4566.0,4577,0.24091108190976784,0.5642314016827452,0.43576859831725484,10,TotalNPK
DAVANAGERE,Davanagere,Rice,489505.0,490855,0.27578880706019343,0.07612403236818965,0.9238759676318103,10,TotalNPK
KOLAR,Kolar,Rice,864.0,870,0.6944444444444444,0.8760077613732274,0.12399223862677254,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Rice,2698.0,2711,0.48183839881393625,0.8807661820976713,0.11923381790232865,10,TotalNPK
SHIVAMOGGA,Shivamogga,Rice,384974.0,386103,0.29326655826107734,0.6318161477389144,0.36818385226108563,10,TotalNPK
TUMAKURU,Tumakuru,Rice,26042.0,26110,0.26111665770678133,0.8645662898841158,0.13543371011588423,10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,Rice,110533.0,111469,0.8468059312603476,0.704086973756823,0.29591302624317695,10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,Rice,132588.0,133155,0.4276405104534347,0.8214303322993717,0.17856966770062827,10,TotalNPK
UDUPI,Udupi,Rice,138156.0,138342,0.1346304177885868,0.8233895869000893,0.17661041309991063,10,TotalNPK
HASSAN,Hassan,Rice,143705.0,144172,0.32497129536202635,0.5203619104841761,0.4796380895158238,10,TotalNPK
KODAGU,Kodagu,Rice,86303.0,87382,1.250246225507804,0.6586506605808307,0.3413493394191693,10,TotalNPK
MANDYA,Mandya,Rice,246543.0,247717,0.47618468177964896,0.6670106350716934,0.33298936492830655,10,TotalNPK
MYSURU,Mysuru,Rice,354227.0,355370,0.32267444322426014,0.547149982674535,0.4528500173254651,10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,Rice,45856.0,46000,0.31402651779483604,0.6428224256136383,0.3571775743863617,10,TotalNPK
BELAGAVI,Belagavi,Rice,177552.0,178499,0.5333648733892042,0.20361599293359411,0.7963840070664059,10,TotalNPK
VIJAYAPURA,Vijayapura,Rice,170.0,170,0.0,0.6225189508994602,0.37748104910053987,10,TotalNPK
BAGALKOT,Bagalkote,Rice,85.0,85,0.0,0.6230438466945578,0.37695615330544213,10,TotalNPK
DHARAWAD,Dharwad,Rice,33989.0,34143,0.45308776368825204,0.6245143819802845,0.37548561801971553,10,TotalNPK
GADAG,Gadag,Rice,7258.0,7276,0.2480022044640397,0.6667664963295701,0.33323350367043,10,TotalNPK
HAVERI,Haveri,Rice,125422.0,125842,0.33486948063338173,0.5722385362901468,0.42776146370985324,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,Rice,152981.0,153396,0.2712755178747688,0.5923318272287232,0.40766817277127676,10,TotalNPK
BALLARI,Ballari,Rice,206115.5,207176,0.5145173458570559,0.7628376945001721,0.2371623054998279,10,TotalNPK
BIDAR,Bidar,Rice,2036.0,2047,0.5402750491159135,0.9768543494665243,0.023145650533475753,10,TotalNPK
KALABURAGI,Kalaburagi,Rice,7888.0,7912,0.3042596348884381,0.8260043725286744,0.1739956274713256,10,TotalNPK
YADGIRI,Yadgir,Rice,224659.0,226633,0.8786649989539702,0.8228137811320564,0.17718621886794364,10,TotalNPK
RAICHUR,Raichur,Rice,492342.0,495012,0.5423059580535482,0.2276061317820225,0.7723938682179775,10,TotalNPK
KOPPAL,Koppal,Rice,243505.0,244401,0.3679595901521529,0.8295547361543909,0.17044526384560915,10,TotalNPK
VIJAYANAGARA,Vijayanagara,Rice,206115.5,207176,0.5145173458570559,0.6919697453633757,0.30803025463662426,10,TotalNPK
BENGALURU,Bengaluru Urban,Maize,2879.0,3134,8.857242097950676,0.9592669094756032,0.04073309052439673,10,TotalNPK
BENGALURU(R),Bengaluru Rural,Maize,42583.0,44354,4.158936664866261,0.9837620537571816,0.016237946242818425,10,TotalNPK
RAMANAGARA,Ramanagara,Maize,10450.0,10579,1.2344497607655502,0.867923589287962,0.13207641071203807,10,TotalNPK
CHITRADURGA,Chitradurga,Maize,271975.0,278336,2.338817906057542,0.5642314016827452,0.43576859831725484,10,TotalNPK
DAVANAGERE,Davanagere,Maize,593544.0,608541,2.526687153774615,0.07612403236818965,0.9238759676318103,10,TotalNPK
KOLAR,Kolar,Maize,1759.0,1887,7.2768618533257525,0.8760077613732274,0.12399223862677254,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,Maize,105491.0,110273,4.533088130741011,0.8807661820976713,0.11923381790232865,10,TotalNPK
SHIVAMOGGA,Shivamogga,Maize,226532.0,232616,2.685713276711458,0.6318161477389144,0.36818385226108563,10,TotalNPK
TUMAKURU,Tumakuru,Maize,66868.0,68470,2.395764790333194,0.8645662898841158,0.13543371011588423,10,TotalNPK
