District,KDG_District,Original Rice Production,Original Maize Production,Initial Stress,Initial Stability,New Rice Production,New Maize Production,Rice Impact,Maize Impact,Stability,Stress,Perturbation,Factor
BENGALURU,Bengaluru Urban,71.0,2879,0.05222813228440337,0.9477718677155966,75,3135,5.633802816901409,8.891976380687739,0.9612717958098203,0.03872820419017972,10,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.19957797675979674,0.8004220232402033,212,44357,2.912621359223301,4.165981729798276,0.9874328289466991,0.012567171053300808,10,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.12313332642127031,0.8768666735787297,4873,10579,0.8902691511387164,1.2344497607655502,0.909928679261284,0.09007132073871608,10,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.9154990406581235,0.08450095934187651,69745,278347,1.7061611374407581,2.3428623954407573,0.7952343933173296,0.20476560668267044,10,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.8738518123733005,0.12614818762669955,16897,608566,1.8382352941176472,2.5308991414284367,0.10884636256938673,0.8911536374306133,10,TotalNPK
KOLAR,Kolar,5810.0,1759,0.14781802836001584,0.8521819716399841,6120,1888,5.335628227194492,7.333712336554861,0.8470354169877414,0.15296458301225854,10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.199618200613357,0.800381799386643,7367,110281,3.295008412787437,4.540671716070565,0.8536690555194582,0.14633094448054187,10,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1561227243994937,0.8438772756005063,252,232627,1.6129032258064515,2.6905691028199104,0.9894614887559126,0.010538511244087476,10,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.5220082780405303,0.4779917219594697,40318,68473,1.7463281683742997,2.4002512412514205,0.8753522319987774,0.12464776800122256,10,TotalNPK
CHIKKAMAGALURU,Chikkamagaluru,3909.0,61353,0.42135969361440334,0.5786403063855967,4130,66120,5.653619851624456,7.769791208253875,0.6724132660988792,0.3275867339011208,10,TotalNPK
DAKSHINA KANNADA,Dakshina Kannada,0.0,0,0.2151214487551677,0.7848785512448323,0,0,,,0.7751940543547373,0.2248059456452627,10,TotalNPK
UDUPI,Udupi,3623.0,109,0.15792179097035264,0.8420782090296474,3655,110,0.883245928788297,0.9174311926605505,0.8351724718962075,0.1648275281037925,10,TotalNPK
HASSAN,Hassan,521.0,333937,0.6288742712797063,0.3711257287202937,532,343895,2.111324376199616,2.9819995987267056,0.36362634511660374,0.6363736548833963,10,TotalNPK
KODAGU,Kodagu,45.0,17921,0.29203334046087925,0.7079666595391207,48,19977,6.666666666666667,11.472574075107415,0.698641517994661,0.301358482005339,10,TotalNPK
MANDYA,Mandya,1021.0,19387,0.31315939641082446,0.6868406035891755,1053,20233,3.1341821743388834,4.363748903904678,0.7395485002612215,0.26045149973877846,10,TotalNPK
MYSURU,Mysuru,2170.0,137154,0.0,1.0,2216,141213,2.1198156682027647,2.9594470449276,1.0,0.0,10,TotalNPK
CHAMARAJANAGAR,Chamarajanagara,8867.0,147886,0.2192791827846429,0.7807208172153571,9053,152146,2.0976655012969436,2.8805972167750835,0.8032548790719456,0.19674512092805443,10,TotalNPK
BELAGAVI,Belagavi,39530.0,576758,1.0,0.0,40938,604981,3.561851758158361,4.89338682775098,0.0,1.0,10,TotalNPK
VIJAYAPURA,Vijayapura,27528.0,226327,0.11571295413545596,0.884287045864544,28067,232417,1.9580063934902643,2.69079694424439,0.8935662538816236,0.10643374611837646,10,TotalNPK
BAGALKOT,Bagalkote,25444.0,251699,0.10363008914481703,0.896369910855183,26431,265107,3.879107058638579,5.3269977234712895,0.9482098725860189,0.05179012741398118,10,TotalNPK
DHARAWAD,Dharwad,21178.0,90634,0.423733485306093,0.576266514693907,21819,94402,3.026725847577675,4.157380232583799,0.5569254258676777,0.4430745741323224,10,TotalNPK
GADAG,Gadag,31332.0,138476,0.24678547519488023,0.7532145248051197,31870,141743,1.7170943444401887,2.3592535890695863,0.755649689834546,0.24435031016545403,10,TotalNPK
HAVERI,Haveri,18309.0,413487,0.49580995692661767,0.5041900430733823,18718,426188,2.233874051013163,3.0716806090638884,0.48386973642542763,0.5161302635745724,10,TotalNPK
UTTARA KANNADA,Uttara Kannada,3825.0,24088,0.565165684325954,0.43483431567404596,3894,24687,1.803921568627451,2.486715376951179,0.46215254568565356,0.5378474543143464,10,TotalNPK
BALLARI,Ballari,22938.5,104045,0.3286057076064117,0.6713942923935883,23727,108956,3.4374523181550667,4.72007304531693,0.6961204419287996,0.3038795580712004,10,TotalNPK
BIDAR,Bidar,261.0,2791,0.042514974740847186,0.9574850252591528,270,2936,3.4482758620689653,5.19527051236116,0.9881757755572628,0.01182422444273725,10,TotalNPK
KALABURAGI,Kalaburagi,3114.0,14621,0.33139030033229383,0.6686096996677062,3178,15036,2.0552344251766215,2.838383147527529,0.8667197163897301,0.13328028361026986,10,TotalNPK
YADGIRI,Yadgir,31435.0,2673,0.2745340527415435,0.7254659472584565,33280,2888,5.869254016223954,8.043396932285821,0.8346639530068318,0.16533604699316815,10,TotalNPK
RAICHUR,Raichur,26958.0,723,0.3255497948401177,0.6744502051598823,27934,758,3.620446620669189,4.840940525587829,0.6567089047989718,0.34329109520102813,10,TotalNPK
KOPPAL,Koppal,29982.0,190252,0.1569925712713358,0.8430074287286642,30719,196679,2.4581415515976253,3.378151083825663,0.8555038566645574,0.14449614333544264,10,TotalNPK
VIJAYANAGARA,Vijayanagara,22938.5,104045,0.41648396243750463,0.5835160375624954,23727,108956,3.4374523181550667,4.72007304531693,0.6025393384745097,0.3974606615254903,10,TotalNPK
BENGALURU,Bengaluru Urban,71.0,2879,0.05222813228440337,0.9477718677155966,66,2622,-7.042253521126761,-8.9267106634248,0.9613806313427506,0.038619368657249346,-10,TotalNPK
BENGALURU(R),Bengaluru Rural,206.0,42583,0.19957797675979674,0.8004220232402033,199,40808,-3.3980582524271843,-4.168330084775615,0.9890323202404167,0.010967679759583352,-10,TotalNPK
RAMANAGARA,Ramanagara,4830.0,10450,0.12313332642127031,0.8768666735787297,4786,10320,-0.9109730848861284,-1.244019138755981,0.9087806507928674,0.09121934920713258,-10,TotalNPK
CHITRADURGA,Chitradurga,68575.0,271975,0.9154990406581235,0.08450095934187651,67404,265602,-1.7076193948231864,-2.343230076293777,0.7748141424454142,0.22518585755458576,-10,TotalNPK
DAVANAGERE,Davanagere,16592.0,593544,0.8738518123733005,0.12614818762669955,16286,578521,-1.8442622950819672,-2.5310676209345897,0.04938168416638833,0.9506183158336117,-10,TotalNPK
KOLAR,Kolar,5810.0,1759,0.14781802836001584,0.8521819716399841,5499,1629,-5.352839931153184,-7.390562819783968,0.8463061534201782,0.1536938465798218,-10,TotalNPK
CHIKKABALLAPURA,Chikkaballapura,7132.0,105491,0.199618200613357,0.800381799386643,6896,100700,-3.3090297251822767,-4.54161966423676,0.8559515326955477,0.1440484673044523,-10,TotalNPK
SHIVAMOGGA,Shivamogga,248.0,226532,0.1561227243994937,0.8438772756005063,243,220436,-2.0161290322580645,-2.6910105415570427,0.9883694397790113,0.01163056022098877,-10,TotalNPK
TUMAKURU,Tumakuru,39626.0,66868,0.5220082780405303,0.4779917219594697,38933,65262,-1.7488517639933376,-2.4017467248908297,0.8741930553692638,0.1258069446307361,-10,TotalNPK
