node,Capability_1,Capability_2,stress,stability,Change_M_NPK_10,Change_G_NPK_10,Mean_Impact,Dissonance,Stability_M_G_NPK_10,SI_Score
BENGALURU,3135,75,0.0387320386059633,0.9612679613940367,0.08891976380687738,0.056338028169014086,0.07262889598794574,0.0325817356378633,0.9612679613940367,0.08066018655651423
BENGALURU(R),44359,212,0.012571220505270604,0.9874287794947294,0.041706784397529534,0.02912621359223301,0.03541649899488127,0.012580570805296523,0.9874287794947294,0.03998298952844894
RAMANAGARA,10580,4873,0.09007064257027868,0.9099293574297214,0.012440191387559809,0.008902691511387164,0.010671441449473486,0.0035374998761726444,0.9099293574297214,0.011218919599831395
CHITRADURGA,278354,69748,0.20475797752334696,0.795242022476653,0.023454361614118943,0.017105359095880422,0.020279860354999683,0.006349002518238521,0.795242022476653,0.018332846621805534
DAVANAGERE,608583,16898,0.8911251380441874,0.10887486195581264,0.025337632930330353,0.018442622950819672,0.021890127940575013,0.0068950099795106815,0.10887486195581264,0.002707754890879657
KOLAR,1888,6121,0.15296727578018288,0.8470327242198171,0.07333712336554861,0.05352839931153184,0.06343276133854023,0.01980872405401677,0.8470327242198171,0.05879381578413411
CHIKKABALLAPURA,110287,7368,0.146336168947971,0.853663831052029,0.045463594050677306,0.03309029725182277,0.039276945651250034,0.012373296798854537,0.853663831052029,0.037526370724104835
SHIVAMOGGA,232633,252,0.010539394625370875,0.9894606053746291,0.02693217735242703,0.016129032258064516,0.021530604805245775,0.010803145094362514,0.9894606053746291,0.026218516757073367
TUMAKURU,68474,40320,0.12465231766112168,0.8753476823388783,0.024017467248908297,0.017513753596123758,0.020765610422516026,0.0065037136527845395,0.8753476823388783,0.020655431541297006
CHIKKAMAGALURU,66125,4130,0.3275727940747209,0.6724272059252792,0.07777940768992551,0.056536198516244564,0.06715780310308504,0.02124320917368095,0.6724272059252792,0.04934409065001373
DAKSHINA KANNADA,0,0,0.22480657678904925,0.7751934232109507,,,,,0.7751934232109507,
UDUPI,110,3655,0.16482724501766413,0.8351727549823359,0.009174311926605505,0.00883245928788297,0.009003385607244237,0.00034185263872253506,0.8351727549823359,0.007594459868124821
HASSAN,343907,532,0.6363602965541924,0.36363970344580765,0.029855930909123578,0.02111324376199616,0.025484587335559868,0.008742687147127417,0.36363970344580765,0.010627579557706395
KODAGU,19980,48,0.30134859494170974,0.6986514050582903,0.11489314212376542,0.06666666666666667,0.09077990439521605,0.04822647545709875,0.6986514050582903,0.07491890483124185
MANDYA,20234,1053,0.260446926608967,0.7395530733910329,0.04368906999535772,0.031341821743388835,0.037515445869373276,0.012347248251968881,0.7395530733910329,0.031297719630546006
MYSURU,141217,2216,0.0,1.0,0.029623634746343525,0.02119815668202765,0.02541089571418559,0.008425478064315876,1.0,0.028995668295499377
CHAMARAJANAGAR,152151,9053,0.19674292772553253,0.8032570722744674,0.028839781994238804,0.02097665501296944,0.02490821850360412,0.007863126981269366,0.8032570722744674,0.022679818718221813
BELAGAVI,605012,40942,1.0,0.0,0.048987616990141446,0.035719706551985836,0.042353661771063644,0.01326791043815561,0.0,0.0
VIJAYAPURA,232423,28068,0.10642292687025852,0.8935770731297414,0.02693447975716552,0.01961639058413252,0.02327543517064902,0.0073180891730329975,0.8935770731297414,0.023595905640232277
BAGALKOT,265121,26433,0.051799256232727894,0.9482007437672721,0.0533255992276489,0.03886967457946864,0.04609763690355877,0.014455924648180261,0.9482007437672721,0.04859799100119206
DHARAWAD,94406,21821,0.44307006991917613,0.5569299300808239,0.041617935873954584,0.03036169609972613,0.035989815986840354,0.011256239774228453,0.5569299300808239,0.022474542401551768
GADAG,141747,31872,0.24435582809432663,0.7556441719056733,0.023621421762615905,0.017234775947912676,0.02042809885526429,0.006386645814703228,0.7556441719056733,0.017541759454983315
HAVERI,426202,18719,0.5161196619505651,0.48388033804943487,0.030750664470708875,0.022393358457589163,0.026572011464149017,0.008357306013119712,0.48388033804943487,0.014546436764111199
UTTARA KANNADA,24688,3894,0.5378408198497333,0.4621591801502667,0.024908668216539354,0.01803921568627451,0.021473941951406932,0.006869452530264844,0.4621591801502667,0.0113041063853739
BALLARI,108962,23729,0.3038687684275742,0.6961312315724257,0.047258397808640495,0.03446171284085708,0.04086005532474879,0.012796684967783419,0.6961312315724257,0.03176432363134776
BIDAR,2936,270,0.011826315459898897,0.9881736845401011,0.05195270512361161,0.034482758620689655,0.04321773187215063,0.017469946502921954,0.9881736845401011,0.04956800997334796
KALABURAGI,15036,3178,0.13328064857254865,0.8667193514274514,0.02838383147527529,0.020552344251766216,0.024468087863520754,0.007831487223509074,0.8667193514274514,0.024095211567820768
YADGIRI,2888,33285,0.16533554262493155,0.8346644573750684,0.0804339693228582,0.058851598536662955,0.06964278392976059,0.02158237078619525,0.8346644573750684,0.06318435120112757
RAICHUR,759,27937,0.3432860277373036,0.6567139722626965,0.04979253112033195,0.03631575042658951,0.04305414077346073,0.01347678069374244,0.6567139722626965,0.03151194580303818
KOPPAL,196686,30721,0.14449211527304026,0.8555078847269597,0.03381830414397746,0.024648122206657328,0.029233213175317393,0.009170181937320134,0.8555078847269597,0.028218710664220558
VIJAYANAGARA,108962,23729,0.3974469069828495,0.6025530930171505,0.047258397808640495,0.03446171284085708,0.04086005532474879,0.012796684967783419,0.6025530930171505,0.027494372588963582
