District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
BENGALURU,71.0,10,TotalNPK,97,36.61971830985916,26.0
BENGALURU(R),206.0,10,TotalNPK,242,17.475728155339805,36.0
RAMANAGARA,4830.0,10,TotalNPK,5084,5.25879917184265,254.0
CHITRADURGA,68575.0,10,TotalNPK,75395,9.945315348158951,6820.0
DAVANAGERE,16592.0,10,TotalNPK,18374,10.740115718418515,1782.0
KOLAR,5810.0,10,TotalNPK,7619,31.135972461273663,1809.0
CHIKKABALLAPURA,7132.0,10,TotalNPK,8506,19.265283230510374,1374.0
SHIVAMOGGA,248.0,10,TotalNPK,276,11.29032258064516,28.0
TUMAKURU,39626.0,10,TotalNPK,43663,10.187755514056427,4037.0
CHIKKAMAGALURU,3909.0,10,TotalNPK,4512,15.425940138142746,603.0
DAKSHINA KANNADA,0.0,10,TotalNPK,0,,0.0
UDUPI,3623.0,10,TotalNPK,3711,2.428926304167817,88.0
HASSAN,521.0,10,TotalNPK,551,5.758157389635317,30.0
KODAGU,45.0,10,TotalNPK,55,22.22222222222222,10.0
MANDYA,1021.0,10,TotalNPK,1109,8.619000979431929,88.0
MYSURU,2170.0,10,TotalNPK,2297,5.852534562211981,127.0
CHAMARAJANAGAR,8867.0,10,TotalNPK,9374,5.717830156761024,507.0
BELAGAVI,39530.0,10,TotalNPK,42601,7.768783202630914,3071.0
VIJAYAPURA,27528.0,10,TotalNPK,28704,4.272013949433305,1176.0
BAGALKOT,25444.0,10,TotalNPK,27596,8.45778965571451,2152.0
DHARAWAD,21178.0,10,TotalNPK,22576,6.601189914061763,1398.0
GADAG,31332.0,10,TotalNPK,32506,3.746967956083237,1174.0
HAVERI,18309.0,10,TotalNPK,19202,4.877382707957835,893.0
UTTARA KANNADA,3825.0,10,TotalNPK,3976,3.947712418300654,151.0
BALLARI,22938.5,10,TotalNPK,24340,6.109815375896418,1401.5
BIDAR,261.0,10,TotalNPK,278,6.513409961685824,17.0
KALABURAGI,3114.0,10,TotalNPK,3228,3.6608863198458574,114.0
YADGIRI,31435.0,10,TotalNPK,34714,10.43104819468745,3279.0
RAICHUR,26958.0,10,TotalNPK,28694,6.439646858075525,1736.0
KOPPAL,29982.0,10,TotalNPK,31293,4.3726235741444865,1311.0
VIJAYANAGARA,22938.5,10,TotalNPK,24340,6.109815375896418,1401.5
BENGALURU,71.0,10,AreaUnderOilSeeds_GroundNut,75,5.633802816901409,4.0
BENGALURU(R),206.0,10,AreaUnderOilSeeds_GroundNut,217,5.339805825242718,11.0
RAMANAGARA,4830.0,10,AreaUnderOilSeeds_GroundNut,5052,4.596273291925466,222.0
CHITRADURGA,68575.0,10,AreaUnderOilSeeds_GroundNut,75094,9.506379876048122,6519.0
DAVANAGERE,16592.0,10,AreaUnderOilSeeds_GroundNut,17621,6.2017839922854385,1029.0
KOLAR,5810.0,10,AreaUnderOilSeeds_GroundNut,6390,9.982788296041308,580.0
CHIKKABALLAPURA,7132.0,10,AreaUnderOilSeeds_GroundNut,8448,18.452047111609645,1316.0
SHIVAMOGGA,248.0,10,AreaUnderOilSeeds_GroundNut,277,11.693548387096774,29.0
TUMAKURU,39626.0,10,AreaUnderOilSeeds_GroundNut,43992,11.018018472719932,4366.0
CHIKKAMAGALURU,3909.0,10,AreaUnderOilSeeds_GroundNut,4315,10.386288053210539,406.0
DAKSHINA KANNADA,0.0,10,AreaUnderOilSeeds_GroundNut,0,,0.0
UDUPI,3623.0,10,AreaUnderOilSeeds_GroundNut,3749,3.4777808446039193,126.0
HASSAN,521.0,10,AreaUnderOilSeeds_GroundNut,580,11.324376199616124,59.0
KODAGU,45.0,10,AreaUnderOilSeeds_GroundNut,49,8.88888888888889,4.0
MANDYA,1021.0,10,AreaUnderOilSeeds_GroundNut,1115,9.20666013712047,94.0
MYSURU,2170.0,10,AreaUnderOilSeeds_GroundNut,2335,7.603686635944701,165.0
CHAMARAJANAGAR,8867.0,10,AreaUnderOilSeeds_GroundNut,9713,9.540994699447388,846.0
BELAGAVI,39530.0,10,AreaUnderOilSeeds_GroundNut,42189,6.726536807487984,2659.0
VIJAYAPURA,27528.0,10,AreaUnderOilSeeds_GroundNut,29289,6.397122929380994,1761.0
BAGALKOT,25444.0,10,AreaUnderOilSeeds_GroundNut,27315,7.353403552900488,1871.0
DHARAWAD,21178.0,10,AreaUnderOilSeeds_GroundNut,23747,12.130512796298046,2569.0
GADAG,31332.0,10,AreaUnderOilSeeds_GroundNut,34258,9.33869526362824,2926.0
HAVERI,18309.0,10,AreaUnderOilSeeds_GroundNut,19573,6.903708558632367,1264.0
UTTARA KANNADA,3825.0,10,AreaUnderOilSeeds_GroundNut,3963,3.607843137254902,138.0
BALLARI,22938.5,10,AreaUnderOilSeeds_GroundNut,25331,10.43006299452885,2392.5
BIDAR,261.0,10,AreaUnderOilSeeds_GroundNut,275,5.363984674329502,14.0
KALABURAGI,3114.0,10,AreaUnderOilSeeds_GroundNut,3297,5.8766859344894025,183.0
YADGIRI,31435.0,10,AreaUnderOilSeeds_GroundNut,33302,5.939239700970256,1867.0
RAICHUR,26958.0,10,AreaUnderOilSeeds_GroundNut,28687,6.413680540099414,1729.0
KOPPAL,29982.0,10,AreaUnderOilSeeds_GroundNut,31053,3.572143285971583,1071.0
VIJAYANAGARA,22938.5,10,AreaUnderOilSeeds_GroundNut,25331,10.43006299452885,2392.5
BENGALURU,71.0,10,MotorVehicles_Tractors,99,39.436619718309856,28.0
BENGALURU(R),206.0,10,MotorVehicles_Tractors,209,1.4563106796116505,3.0
RAMANAGARA,4830.0,10,MotorVehicles_Tractors,5491,13.685300207039338,661.0
CHITRADURGA,68575.0,10,MotorVehicles_Tractors,74579,8.755377324097703,6004.0
DAVANAGERE,16592.0,10,MotorVehicles_Tractors,17575,5.924541947926712,983.0
KOLAR,5810.0,10,MotorVehicles_Tractors,8145,40.18932874354561,2335.0
CHIKKABALLAPURA,7132.0,10,MotorVehicles_Tractors,8072,13.180033651149747,940.0
SHIVAMOGGA,248.0,10,MotorVehicles_Tractors,263,6.048387096774194,15.0
TUMAKURU,39626.0,10,MotorVehicles_Tractors,44399,12.0451218896684,4773.0
CHIKKAMAGALURU,3909.0,10,MotorVehicles_Tractors,4504,15.221284215911998,595.0
DAKSHINA KANNADA,0.0,10,MotorVehicles_Tractors,0,,0.0
UDUPI,3623.0,10,MotorVehicles_Tractors,3887,7.28677891250345,264.0
HASSAN,521.0,10,MotorVehicles_Tractors,564,8.253358925143955,43.0
KODAGU,45.0,10,MotorVehicles_Tractors,52,15.555555555555555,7.0
MANDYA,1021.0,10,MotorVehicles_Tractors,1092,6.953966699314397,71.0
MYSURU,2170.0,10,MotorVehicles_Tractors,2344,8.018433179723502,174.0
CHAMARAJANAGAR,8867.0,10,MotorVehicles_Tractors,9198,3.7329423705875717,331.0
BELAGAVI,39530.0,10,MotorVehicles_Tractors,41058,3.8654186693650394,1528.0
VIJAYAPURA,27528.0,10,MotorVehicles_Tractors,28566,3.770706190061029,1038.0
BAGALKOT,25444.0,10,MotorVehicles_Tractors,26624,4.637635591888068,1180.0
DHARAWAD,21178.0,10,MotorVehicles_Tractors,22209,4.868259514590613,1031.0
GADAG,31332.0,10,MotorVehicles_Tractors,34050,8.674837227116047,2718.0
HAVERI,18309.0,10,MotorVehicles_Tractors,18724,2.2666448194876834,415.0
UTTARA KANNADA,3825.0,10,MotorVehicles_Tractors,3913,2.3006535947712417,88.0
