District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
BENGALURU,Bengaluru Urban,2879,10,TotalNPK,3134,8.857242097950676,255
BENGALURU(R),Bengaluru Rural,42583,10,TotalNPK,44354,4.158936664866261,1771
RAMANAGARA,Ramanagara,10450,10,TotalNPK,10579,1.2344497607655502,129
CHITRADURGA,Chitradurga,271975,10,TotalNPK,278336,2.338817906057542,6361
DAVANAGERE,Davanagere,593544,10,TotalNPK,608541,2.526687153774615,14997
KOLAR,Kolar,1759,10,TotalNPK,1887,7.2768618533257525,128
CHIKKABALLAPURA,Chikkaballapura,105491,10,TotalNPK,110273,4.533088130741011,4782
SHIVAMOGGA,Shivamogga,226532,10,TotalNPK,232616,2.685713276711458,6084
TUMAKURU,Tumakuru,66868,10,TotalNPK,68470,2.395764790333194,1602
CHIKKAMAGALURU,Chikkamagaluru,61353,10,TotalNPK,66112,7.756751911071993,4759
DAKSHINA KANNADA,Dakshina Kannada,0,10,TotalNPK,0,,0
UDUPI,Udupi,109,10,TotalNPK,110,0.9174311926605505,1
HASSAN,Hassan,333937,10,TotalNPK,343879,2.9772082758125036,9942
KODAGU,Kodagu,17921,10,TotalNPK,19974,11.45583393783829,2053
MANDYA,Mandya,19387,10,TotalNPK,20232,4.358590808273585,845
MYSURU,Mysuru,137154,10,TotalNPK,141206,2.954343292940782,4052
CHAMARAJANAGAR,Chamarajanagara,147886,10,TotalNPK,152139,2.8758638410667676,4253
BELAGAVI,Belagavi,576758,10,TotalNPK,604933,4.885064446440275,28175
VIJAYAPURA,Vijayapura,226327,10,TotalNPK,232406,2.6859367198787596,6079
BAGALKOT,Bagalkote,251699,10,TotalNPK,265084,5.317859824631802,13385
DHARAWAD,Dharwad,90634,10,TotalNPK,94396,4.150760200366308,3762
GADAG,Gadag,138476,10,TotalNPK,141738,2.3556428550795805,3262
HAVERI,Haveri,413487,10,TotalNPK,426166,3.0663600064814616,12679
UTTARA KANNADA,Uttara Kannada,24088,10,TotalNPK,24686,2.4825639322484223,598
BALLARI,Ballari,104045,10,TotalNPK,108948,4.712384064587438,4903
BIDAR,Bidar,2791,10,TotalNPK,2936,5.19527051236116,145
KALABURAGI,Kalaburagi,14621,10,TotalNPK,15035,2.831543670063607,414
YADGIRI,Yadgir,2673,10,TotalNPK,2888,8.043396932285821,215
