District,KDG_District,Original Maize Production Value,Perturbation,Factor,New Maize Production Values,Percentage Change,Change
BENGALURU,Bengaluru Urban,3376.0,10,TotalNPK,3408,0.9478672985781991,32.0
BENGALURU(R),Bengaluru Rural,2354.0,10,TotalNPK,2364,0.4248088360237893,10.0
RAMANAGARA,Ramanagara,12128.0,10,TotalNPK,12144,0.13192612137203166,16.0
CHITRADURGA,Chitradurga,4566.0,10,TotalNPK,4577,0.24091108190976784,11.0
DAVANAGERE,Davanagere,489505.0,10,TotalNPK,490855,0.27578880706019343,1350.0
KOLAR,Kolar,864.0,10,TotalNPK,870,0.6944444444444444,6.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,10,TotalNPK,2711,0.48183839881393625,13.0
SHIVAMOGGA,Shivamogga,384974.0,10,TotalNPK,386103,0.29326655826107734,1129.0
TUMAKURU,Tumakuru,26042.0,10,TotalNPK,26110,0.26111665770678133,68.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,10,TotalNPK,111469,0.8468059312603476,936.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,10,TotalNPK,133155,0.4276405104534347,567.0
UDUPI,Udupi,138156.0,10,TotalNPK,138342,0.1346304177885868,186.0
HASSAN,Hassan,143705.0,10,TotalNPK,144172,0.32497129536202635,467.0
KODAGU,Kodagu,86303.0,10,TotalNPK,87382,1.250246225507804,1079.0
MANDYA,Mandya,246543.0,10,TotalNPK,247717,0.47618468177964896,1174.0
MYSURU,Mysuru,354227.0,10,TotalNPK,355370,0.32267444322426014,1143.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,10,TotalNPK,46000,0.31402651779483604,144.0
BELAGAVI,Belagavi,177552.0,10,TotalNPK,178499,0.5333648733892042,947.0
VIJAYAPURA,Vijayapura,170.0,10,TotalNPK,170,0.0,0.0
BAGALKOT,Bagalkote,85.0,10,TotalNPK,85,0.0,0.0
DHARAWAD,Dharwad,33989.0,10,TotalNPK,34143,0.45308776368825204,154.0
GADAG,Gadag,7258.0,10,TotalNPK,7276,0.2480022044640397,18.0
HAVERI,Haveri,125422.0,10,TotalNPK,125842,0.33486948063338173,420.0
UTTARA KANNADA,Uttara Kannada,152981.0,10,TotalNPK,153396,0.2712755178747688,415.0
BALLARI,Ballari,206115.5,10,TotalNPK,207176,0.5145173458570559,1060.5
BIDAR,Bidar,2036.0,10,TotalNPK,2047,0.5402750491159135,11.0
KALABURAGI,Kalaburagi,7888.0,10,TotalNPK,7912,0.3042596348884381,24.0
YADGIRI,Yadgir,224659.0,10,TotalNPK,226633,0.8786649989539702,1974.0
RAICHUR,Raichur,492342.0,10,TotalNPK,495012,0.5423059580535482,2670.0
KOPPAL,Koppal,243505.0,10,TotalNPK,244401,0.3679595901521529,896.0
VIJAYANAGARA,Vijayanagara,206115.5,10,TotalNPK,207176,0.5145173458570559,1060.5
BENGALURU,Bengaluru Urban,3376.0,10,AreaUnderCereals_Paddy,3626,7.4052132701421804,250.0
BENGALURU(R),Bengaluru Rural,2354.0,10,AreaUnderCereals_Paddy,2589,9.983007646559049,235.0
RAMANAGARA,Ramanagara,12128.0,10,AreaUnderCereals_Paddy,13558,11.79089709762533,1430.0
CHITRADURGA,Chitradurga,4566.0,10,AreaUnderCereals_Paddy,4981,9.08891809023215,415.0
DAVANAGERE,Davanagere,489505.0,10,AreaUnderCereals_Paddy,520973,6.428534948570494,31468.0
KOLAR,Kolar,864.0,10,AreaUnderCereals_Paddy,990,14.583333333333334,126.0
CHIKKABALLAPURA,Chikkaballapura,2698.0,10,AreaUnderCereals_Paddy,3124,15.789473684210526,426.0
SHIVAMOGGA,Shivamogga,384974.0,10,AreaUnderCereals_Paddy,420079,9.11879763308691,35105.0
TUMAKURU,Tumakuru,26042.0,10,AreaUnderCereals_Paddy,29365,12.760156669994624,3323.0
CHIKKAMAGALURU,Chikkamagaluru,110533.0,10,AreaUnderCereals_Paddy,121112,9.570897379063267,10579.0
DAKSHINA KANNADA,Dakshina Kannada,132588.0,10,AreaUnderCereals_Paddy,148180,11.759736929435546,15592.0
UDUPI,Udupi,138156.0,10,AreaUnderCereals_Paddy,154043,11.49931960971655,15887.0
HASSAN,Hassan,143705.0,10,AreaUnderCereals_Paddy,157417,9.541769597439199,13712.0
KODAGU,Kodagu,86303.0,10,AreaUnderCereals_Paddy,95377,10.514118860294545,9074.0
MANDYA,Mandya,246543.0,10,AreaUnderCereals_Paddy,265273,7.597052035547551,18730.0
MYSURU,Mysuru,354227.0,10,AreaUnderCereals_Paddy,384177,8.455030248964647,29950.0
CHAMARAJANAGAR,Chamarajanagara,45856.0,10,AreaUnderCereals_Paddy,50301,9.693387997208653,4445.0
BELAGAVI,Belagavi,177552.0,10,AreaUnderCereals_Paddy,197161,11.04408849238533,19609.0
VIJAYAPURA,Vijayapura,170.0,10,AreaUnderCereals_Paddy,186,9.411764705882353,16.0
BAGALKOT,Bagalkote,85.0,10,AreaUnderCereals_Paddy,95,11.76470588235294,10.0
DHARAWAD,Dharwad,33989.0,10,AreaUnderCereals_Paddy,41646,22.52787666598017,7657.0
GADAG,Gadag,7258.0,10,AreaUnderCereals_Paddy,7804,7.522733535409204,546.0
HAVERI,Haveri,125422.0,10,AreaUnderCereals_Paddy,139823,11.48203664428888,14401.0
UTTARA KANNADA,Uttara Kannada,152981.0,10,AreaUnderCereals_Paddy,174165,13.847471254600244,21184.0
