District,KDG_District,Original Groundnut Production Value,Perturbation,Factor,New Groundnut Production Values,Percentage Change,Change
BENGALURU,Bengaluru Urban,71.0,10,TotalNPK,75,5.633802816901409,4.0
BENGALURU(R),Bengaluru Rural,206.0,10,TotalNPK,212,2.912621359223301,6.0
RAMANAGARA,Ramanagara,4830.0,10,TotalNPK,4873,0.8902691511387164,43.0
CHITRADURGA,Chitradurga,68575.0,10,TotalNPK,69745,1.7061611374407581,1170.0
DAVANAGERE,Davanagere,16592.0,10,TotalNPK,16897,1.8382352941176472,305.0
KOLAR,Kolar,5810.0,10,TotalNPK,6120,5.335628227194492,310.0
CHIKKABALLAPURA,Chikkaballapura,7132.0,10,TotalNPK,7367,3.295008412787437,235.0
SHIVAMOGGA,Shivamogga,248.0,10,TotalNPK,252,1.6129032258064515,4.0
TUMAKURU,Tumakuru,39626.0,10,TotalNPK,40318,1.7463281683742997,692.0
CHIKKAMAGALURU,Chikkamagaluru,3909.0,10,TotalNPK,4130,5.653619851624456,221.0
DAKSHINA KANNADA,Dakshina Kannada,0.0,10,TotalNPK,0,,0.0
UDUPI,Udupi,3623.0,10,TotalNPK,3655,0.883245928788297,32.0
HASSAN,Hassan,521.0,10,TotalNPK,532,2.111324376199616,11.0
KODAGU,Kodagu,45.0,10,TotalNPK,48,6.666666666666667,3.0
MANDYA,Mandya,1021.0,10,TotalNPK,1053,3.1341821743388834,32.0
MYSURU,Mysuru,2170.0,10,TotalNPK,2216,2.1198156682027647,46.0
CHAMARAJANAGAR,Chamarajanagara,8867.0,10,TotalNPK,9053,2.0976655012969436,186.0
BELAGAVI,Belagavi,39530.0,10,TotalNPK,40938,3.561851758158361,1408.0
VIJAYAPURA,Vijayapura,27528.0,10,TotalNPK,28067,1.9580063934902643,539.0
BAGALKOT,Bagalkote,25444.0,10,TotalNPK,26431,3.879107058638579,987.0
DHARAWAD,Dharwad,21178.0,10,TotalNPK,21819,3.026725847577675,641.0
GADAG,Gadag,31332.0,10,TotalNPK,31870,1.7170943444401887,538.0
HAVERI,Haveri,18309.0,10,TotalNPK,18718,2.233874051013163,409.0
UTTARA KANNADA,Uttara Kannada,3825.0,10,TotalNPK,3894,1.803921568627451,69.0
BALLARI,Ballari,22938.5,10,TotalNPK,23727,3.4374523181550667,788.5
BIDAR,Bidar,261.0,10,TotalNPK,270,3.4482758620689653,9.0
