District,Rice_Production_223 (TotalNPK_315 +20%),Rice_Production_223 (TotalNPK_315 -20%),Normalized Rice_Production_223 (TotalNPK_315 +20%),Normalized Rice_Production_223 (TotalNPK_315 -20%),New Stability(NPK + 20%),New Stability(NPK - 20%)
BENGALURU,73964.70948304117,52021.94839499796,0.0987206921147695,0.0987206921147695,0.9597167575527484,0.9597167575527484
BENGALURU(R),62524.538933792384,44395.16802883211,0.0754181910218356,0.0754181910218356,0.9733301120544856,0.9733301120544856
RAMANAGARA,29237.624526486696,22203.891757294987,0.0076160235613538,0.0076160235613538,0.853065967188974,0.853065967188974
CHITRADURGA,109474.14036091184,75694.90231357842,0.1710499068130047,0.1710499068130047,0.7333126251121694,0.7333126251121694
DAVANAGERE,289534.6869469651,195735.26670428063,0.5378155127585652,0.5378155127585651,0.827967603138446,0.827967603138446
KOLAR,70801.78896584574,49913.334716867685,0.0922781344193645,0.0922781344193644,0.9916476841305999,0.9916476841305999
CHIKKABALLAPURA,88217.62006365301,61523.88878207252,0.1277524677296887,0.1277524677296886,0.9895039997545692,0.9895039997545693
SHIVAMOGGA,168002.29010990736,114713.66881290876,0.2902659855962818,0.2902659855962817,0.9665527714502657,0.9665527714502657
TUMAKURU,115867.75826352827,79957.31424865605,0.1840730770115736,0.1840730770115736,0.9829173610494795,0.9829173610494796
CHIKKAMAGALURU,199783.99323536915,135901.47089654996,0.3550021858677896,0.3550021858677894,0.8754310103968418,0.8754310103968419
DAKSHINA KANNADA,60629.6106596512,43131.882512738,0.0715584086882492,0.0715584086882492,0.8431970617335082,0.8431970617335083
UDUPI,25498.600629373545,19711.20915921955,0.0,0.0,0.8076091208209659,0.8076091208209659
HASSAN,201388.0457833754,136970.83926188745,0.358269482984745,0.3582694829847448,0.8825882208570135,0.8825882208570136
KODAGU,123772.23552034076,85226.9657531977,0.2001737189664297,0.2001737189664297,0.949778728822009,0.9497787288220091
MANDYA,179154.40896919725,122148.41471910205,0.3129817537562412,0.3129817537562411,0.8815926922988426,0.8815926922988427
MYSURU,183266.2056415513,124889.6125006714,0.3213570787602679,0.3213570787602678,0.9218883021559559,0.9218883021559559
CHAMARAJANAGAR,75356.95931784235,52950.1149515321,0.1015565679574791,0.1015565679574791,0.8875716159315248,0.8875716159315249
BELAGAVI,516440.3456216234,347005.7058207195,1.0,1.0,0.21200271507788582,0.21200271507788582
VIJAYAPURA,161278.25997469103,110230.98205609788,0.2765697982098893,0.2765697982098892,0.7051528956995927,0.7051528956995927
BAGALKOT,247648.5823835344,167811.1969953268,0.4524976415637008,0.4524976415637007,0.9721278847702539,0.9721278847702538
DHARAWAD,113701.72251648465,78513.29041729363,0.1796610754469524,0.1796610754469524,0.8072050228940889,0.807205022894089
GADAG,73879.98839775914,51965.46767147661,0.0985481236050712,0.0985481236050712,0.593134265970257,0.593134265970257
HAVERI,191701.60169946443,130513.2098726135,0.3385391500425669,0.3385391500425668,0.9669751808134496,0.9669751808134497
UTTARA KANNADA,51389.36429155887,36971.71826734311,0.0527369365638158,0.0527369365638158,0.6910436943466556,0.6910436943466556
BALLARI,356421.98377711995,240326.7979243839,0.6740583511654127,0.6740583511654127,0.6880555747298345,0.6880555747298343
BIDAR,77771.51024837993,54559.81557189048,0.1064747704838821,0.1064747704838821,0.8312222452313568,0.8312222452313569
KALABURAGI,160631.5556903716,109799.8458665516,0.2752525252525253,0.2752525252525252,0.984127531963523,0.9841275319635229
YADGIRI,266222.26831352926,180193.65428199005,0.4903304111732358,0.4903304111732356,0.9066116748349096,0.9066116748349096
RAICHUR,339212.3073201656,228853.68028641428,0.6390039345620212,0.639003934562021,0.8172326913784773,0.8172326913784773
KOPPAL,215849.93504101623,146612.09876698136,0.3877269275902534,0.3877269275902533,0.921699914866202,0.921699914866202
