node,Capability_1,Capability_2,stress,stability,Change_G_NPK_20,Change_M_NPK_20,Mean_Impact,Dissonance,Stability_G_M_NPK_20,SI_Score
BENGALURU,0.001128015679417944,0.005354771368159086,0.052845342468140065,0.9471546575318599,0.1267605633802817,0.17783952761375477,0.15230004549701823,0.05107896423347308,0.9471546575318599,2.824092062154305
BENGALURU(R),0.003073842726413897,0.07285236716898244,0.16652563209855542,0.8334743679014446,0.05825242718446602,0.08341356879505907,0.07083299798976254,0.025161141610593046,0.8334743679014446,2.3463755794461396
RAMANAGARA,0.06933066369622538,0.016912297656438754,0.10833921297304475,0.8916607870269553,0.018012422360248446,0.024880382775119617,0.02144640256768403,0.0068679604148711715,0.8916607870269553,2.784366105400269
CHITRADURGA,1.0,0.449625513409036,0.6986574242947521,0.3013425757052479,0.034210718191760844,0.046908723228237886,0.040559720709999365,0.012698005036477042,0.3013425757052479,0.9625425941733359
DAVANAGERE,0.24259387205482155,0.9847694574326469,0.6597727701206618,0.3402272298793382,0.03694551591128255,0.050675265860660706,0.04381039088597163,0.013729749949378159,0.3402272298793382,1.0856343331831928
KOLAR,0.09069246062520268,0.0031850704363246465,0.1290940222785786,0.8709059777214214,0.10705679862306368,0.14667424673109722,0.12686552267708046,0.03961744810803354,0.8709059777214214,2.7888707461654354
CHIKKABALLAPURA,0.1072319905246683,0.1817290337251112,0.1670940323394744,0.8329059676605256,0.06632080762759394,0.09092718810135461,0.07862399786447427,0.024606380473760667,0.8329059676605256,2.661358385987785
SHIVAMOGGA,0.0036237503701301447,0.37698948468813315,0.1331495487913242,0.8668504512086758,0.036290322580645164,0.053868769092225384,0.045079545836435274,0.01757844651158022,0.8668504512086758,2.223019231127907
TUMAKURU,0.5783195386415871,0.11066580131287435,0.4084643504066025,0.5915356495933974,0.03505274314843789,0.048049889334210685,0.041551316241324285,0.012997146185772794,0.5915356495933974,1.8911139794040104
CHIKKAMAGALURU,0.061364052960336146,0.11195435732479349,0.3193429774293894,0.6806570225706106,0.11332821693527756,0.15555881537985103,0.13444351615756428,0.04223059844457347,0.6806570225706106,2.1669104105127897
DAKSHINA KANNADA,0.0,0.0,0.17904225423795106,0.8209577457620489,,,,,0.8209577457620489,
UDUPI,0.05200152282116721,0.00017528151632723637,0.13382823716725908,0.8661717628327409,0.017940932928512284,0.01834862385321101,0.01814477839086165,0.00040769092469872606,0.8661717628327409,38.55002339489449
HASSAN,0.007656406424049294,0.5588116860660669,0.48408578710273714,0.5159142128972629,0.04222648752399232,0.059711861818247156,0.050969174671119735,0.017485374294254834,0.5159142128972629,1.5038695306118686
KODAGU,0.0007332101916216635,0.034802066111134795,0.22828022546503196,0.771719774534968,0.15555555555555556,0.22978628424753084,0.1926709199015432,0.07423072869197528,0.771719774534968,2.003051316966766
MANDYA,0.015312812848098588,0.03329085520009727,0.24833036837616526,0.7516696316238347,0.06366307541625857,0.08742972094702636,0.07554639818164247,0.023766645530767794,0.7516696316238347,2.389312081008187
MYSURU,0.03190874353153509,0.22941508084267773,0.012770054013874444,0.9872299459861256,0.04285714285714286,0.05925456056695393,0.05105585171204839,0.016397417709811075,0.9872299459861256,3.073890451531463
CHAMARAJANAGAR,0.13028581097277253,0.24699850142199103,0.17892032230023483,0.8210796776997652,0.042066087741062366,0.05767956398847761,0.04987282586476999,0.015613476247415242,0.8210796776997652,2.622706381213531
BELAGAVI,0.5972138012718377,1.0,0.8000241602169378,0.19997583978306221,0.07146471034657223,0.09797696780972262,0.08472083907814743,0.02651225746315039,0.19997583978306221,0.6390297380495117
VIJAYAPURA,0.40339250715584946,0.3766499754447966,0.08426836884781085,0.9157316311521891,0.039269107817494917,0.05387337790011797,0.04657124285880644,0.014604270082623057,0.9157316311521891,2.9201569093564603
BAGALKOT,0.38666967470847846,0.4398523845392228,0.09270503339424772,0.9072949666057523,0.0777786511554787,0.10665517145479322,0.09221691130513596,0.02887652029931452,0.9072949666057523,2.897438423876338
DHARAWAD,0.31674680278055867,0.15503571163506072,0.3366573127564225,0.6633426872435775,0.06072339219945226,0.08324690513493832,0.0719851486671953,0.02252351293548606,0.6633426872435775,2.120043267464454
GADAG,0.45701555251618,0.22900135329963506,0.20741249434106965,0.7925875056589303,0.03446955189582535,0.04725006499321182,0.040859808444518586,0.012780513097386467,0.7925875056589303,2.5339337638459294
HAVERI,0.2697367493408158,0.6930994351513659,0.3870010050698188,0.6129989949301812,0.04484133486263586,0.06150132894141775,0.0531713319020268,0.016659994078781888,0.6129989949301812,1.9564216446242968
UTTARA KANNADA,0.05589317691515912,0.0399326034674158,0.4483092592491741,0.5516907407508259,0.03633986928104575,0.04981733643307871,0.043078602857062234,0.013477467152032956,0.5516907407508259,1.7633926354729352
BALLARI,0.3457368057415998,0.1798277819624266,0.2521510711357159,0.7478489288642841,0.06894522309654075,0.09451679561728099,0.08173100935691087,0.025571572520740243,0.7478489288642841,2.3902498664479164
BIDAR,0.0039480548779628035,0.004866825525410293,0.046119146619918346,0.9538808533800817,0.07279693486590039,0.10426370476531709,0.08853031981560874,0.0314667698994167,0.9538808533800817,2.6837002109101076
KALABURAGI,0.045726935604404904,0.024398871250199364,0.2757223861735737,0.7242776138264263,0.041425818882466284,0.05676766295055058,0.04909674091650843,0.015341844068084295,0.7242776138264263,2.3178224338518687
YADGIRI,0.4954103862043682,0.004901566006123799,0.2463845219302315,0.7536154780697685,0.11770319707332591,0.161242050130939,0.13947262360213247,0.0435388530576131,0.7536154780697685,2.414136352523574
RAICHUR,0.40773536752160855,0.0012553946439653417,0.2632403841147742,0.7367596158852259,0.0726685955931449,0.0995850622406639,0.0861268289169044,0.026916466647518997,0.7367596158852259,2.3574702512478525
KOPPAL,0.4436062661270992,0.32075096286400523,0.1273051597834828,0.8726948402165172,0.04932959775865519,0.06764186447448647,0.058485731116570835,0.018312266715831284,0.8726948402165172,2.787213432600171
