node,Capability_1,Capability_2,stress,stability,Change_R_NPK_20,Change_M_NPK_20,Mean_Impact,Dissonance,Stability_R_M_NPK_20,SI_Score
BENGALURU,0.00955504361379235,0.006888132739327183,0.04113770390010782,0.9588622960998922,0.6872037914691943,0.705105939562348,0.6961548655157712,0.017902148093153714,0.9588622960998922,37.286958487671164
BENGALURU(R),0.005138976238002789,0.07949626407549024,0.01769049780509089,0.9823095021949091,0.3220050977060323,0.33046051241105606,0.3262328050585442,0.008455414705023756,0.9823095021949091,37.900161673478436
RAMANAGARA,0.022536641054387355,0.016108324271231628,0.13022111221429108,0.8697788877857089,0.09597625329815303,0.09856459330143541,0.09727042329979421,0.002588340003282383,0.8697788877857089,32.68649423369825
CHITRADURGA,0.009035506275464166,0.4525302557266636,0.43228389455977506,0.5677161054402249,0.1809023215067893,0.18579648864785367,0.1833494050773215,0.0048941671410643595,0.5677161054402249,21.26825814997444
DAVANAGERE,1.0,1.0,0.9337237719194397,0.06627622808056033,0.1955771646867754,0.20071132047497742,0.19814424258087643,0.005134155788202005,0.06627622808056033,2.557821296408107
KOLAR,0.002132837494189385,0.003903602623916933,0.13655348969301245,0.8634465103069875,0.5659722222222222,0.5815804434337691,0.5737763328279957,0.015608221211546924,0.8634465103069875,31.741296177335
CHIKKABALLAPURA,0.00604816658007711,0.2013301996000982,0.13700823342720017,0.8629917665727999,0.3506300963676798,0.360144467300528,0.3553872818341039,0.009514370932848237,0.8629917665727999,32.23505792786089
SHIVAMOGGA,0.794529818708813,0.3856821131651875,0.39296675182358376,0.6070332481764162,0.20790754700317424,0.21336499920541027,0.21063627310429225,0.005457452202236035,0.6070332481764162,23.429105067358158
TUMAKURU,0.05258093844849744,0.11168765566352123,0.1355129085927126,0.8644870914072874,0.18546962598878736,0.19036011246036968,0.1879148692245785,0.004890486471582328,0.8644870914072874,33.21754996606209
CHIKKAMAGALURU,0.23167605479751716,0.12987125969060231,0.2695242339651858,0.7304757660348142,0.22738910551599975,0.508581487457826,0.3679852964869129,0.2811923819418263,0.7304757660348142,0.9559446080457357
DAKSHINA KANNADA,0.252425077246999,0.0,0.18435588735266475,0.8156441126473353,0.11479168552206837,,,,0.8156441126473353,
UDUPI,0.24446966175384868,0.00016417020380959062,0.20226653558765764,0.7977334644123424,0.03616925794029937,0.07339449541284404,0.05478187667657171,0.03722523747254467,0.7977334644123424,1.1739706509714813
HASSAN,0.26684736539881326,0.5600364822675132,0.47039856880382974,0.5296014311961703,0.08727601684005427,0.19520747925506907,0.14124174804756168,0.10793146241501479,0.5296014311961703,0.6930493688949736
KODAGU,0.1968516720899073,0.04403550005261866,0.29369752937329646,0.7063024706267036,0.33587476680996026,0.7511857597232298,0.543530263266595,0.4153109929132695,0.7063024706267036,0.9243597553550644
MANDYA,0.4750229006589921,0.0349794787245238,0.3252501197420041,0.6747498802579959,0.12782760005354035,0.2858616598751741,0.2068446299643572,0.15803405982163374,0.6747498802579959,0.8831538559345012
MYSURU,0.6576317300593366,0.2297316448591574,0.4018382380339074,0.5981617619660926,0.08661677398956037,0.19372384327106756,0.14017030863031396,0.10710706928150719,0.5981617619660926,0.7828103163319021
CHAMARAJANAGAR,0.08479567143364962,0.2466397726874101,0.33701648510679344,0.6629835148932066,0.08430739706908584,0.18857768821930407,0.13644254264419495,0.10427029115021823,0.6629835148932066,0.867544873092313
BELAGAVI,0.3707121079543901,0.9616431052022311,0.7850932573011721,0.21490674269882792,0.2223010723618996,0.18826093439536165,0.20528100337863064,0.03404013796653796,0.21490674269882792,1.2960074315038221
VIJAYAPURA,0.00014526537420360395,0.35045006489634123,0.3784100362970259,0.621589963702974,0.11764705882352941,0.10352277898792456,0.11058491890572698,0.014124279835604853,0.621589963702974,4.866688888125072
BAGALKOT,0.0,0.42555442522889114,0.37165553767290666,0.6283444623270933,0.23529411764705882,0.2049392329727174,0.2201166753098881,0.030354884674341415,0.6283444623270933,4.556403210904961
DHARAWAD,0.0688797134341418,0.14751745185393061,0.35579327831038254,0.6442067216896175,0.18888463914795964,0.15996204514861972,0.1744233421482897,0.028922593999339913,0.6442067216896175,3.8850142360695803
GADAG,0.013554113915397447,0.21194513628231662,0.3319499497423506,0.6680500502576494,0.10719206392945715,0.09078829544469799,0.09899017968707757,0.016403768484759162,0.6680500502576494,4.031414767674151
HAVERI,0.24407659074129776,0.6487543410390431,0.3880801613204273,0.6119198386795728,0.13953692334678128,0.11817542026714262,0.12885617180696196,0.02136150307963866,0.6119198386795728,3.6912031691319194
UTTARA KANNADA,0.2908212791556151,0.037035114182481496,0.3953824918446311,0.6046175081553689,0.11304671821990966,0.09573231484556625,0.10438951653273795,0.01731440337434341,0.6046175081553689,3.6452731289079807
BALLARI,0.40975260452270923,0.1811667309783562,0.2231658141999148,0.7768341858000852,0.1637455698382703,0.24093421115863328,0.2023398904984518,0.07718864132036299,0.7768341858000852,2.0363688413411243
BIDAR,0.003929001121106888,0.004958782053530712,0.021395580053227257,0.9786044199467727,0.1807465618860511,0.26621282694374776,0.22347969441489943,0.08546626505769667,0.9786044199467727,2.558883514742754
KALABURAGI,0.01462736868010172,0.023487564457852456,0.17885572162020857,0.8211442783797914,0.09837728194726167,0.1448601326858628,0.12161870731656224,0.046482850738601145,0.8211442783797914,2.1484591428900592
YADGIRI,0.49110121407672747,0.005292735117690392,0.19776139803594578,0.8022386019640542,0.2795659199052787,0.4111485222596334,0.34535722108245603,0.1315826023543547,0.8022386019640542,2.1055891072381656
RAICHUR,0.9864424680757977,0.0012712667064229838,0.7571086832527943,0.24289131674720565,0.17257516116845606,0.25311203319502074,0.2128435971817384,0.08053687202656468,0.24289131674720565,0.6419154392243095
KOPPAL,0.4647381121653769,0.31298417932437644,0.1512739873591816,0.8487260126408184,0.11718445206463933,0.1724239429808885,0.1448041975227639,0.055239490916249176,0.8487260126408184,2.224841089927515
VIJAYANAGARA,0.40975260452270923,0.1811667309783562,0.2915678296577342,0.7084321703422658,0.1637455698382703,0.24093421115863328,0.2023398904984518,0.07718864132036299,0.7084321703422658,1.8570619371016093
