,SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,LivestockCensus_2012_Buffaloes_355,MotorVehicles_Trailers_515,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226
0,4.45,2567.461578,158.8990696,209.5971402,211.5521269,178.8060984,207.6045575,175.7232346,1129,275.164389,98.02510483,438.1802096,2879
1,134.73,25037.13927,3843.536661,139.8308937,3741.540508,3319.525511,3605.020154,3197.193185,14867,154.6495002,3429.301433,3036.08025,42583
2,260.15,7729.614277,910.6417525,100.4950678,1056.908324,1007.50841,723.3622491,709.8598043,1987,339.2563595,928.0358159,222.225258,10450
3,5004,83821.59309,46440.04707,3558.078346,32643.41675,28658.46623,31995.96863,28105.50725,92194,5647.169517,37647.33395,10902.40657,271975
4,6124.6,85657.63209,45371.78304,5651.610989,54207.22947,44885.55362,25533.62248,20213.73088,173400,8341.220655,27344.83354,25702.83548,593544
5,51.5,2278.829821,456.4505006,87.68633407,248.9603371,200.3861078,248.9603371,200.3861078,640,167.701482,772.943145,220.7829063,1759
6,3538.15,71206.94531,13626.32552,1982.667941,16895.89208,14559.99186,16895.89208,14559.99186,59377,3298.472645,17213.2606,8196.896749,105491
7,3814.02,104722.0004,27542.95675,2202.662836,30176.49927,25894.59788,7916.838508,5958.813645,43827,3305.007438,18792.927,10428.24626,226532
8,1639.85,37944.09376,13038.87053,1645.210902,12758.10553,11425.40767,11750.37516,10417.6773,24207,1910.209867,10614.82976,2746.313635,66868
9,2923.79,40572.44563,8517.69445,1312.448475,7739.359622,6329.919763,4239.737399,3145.789961,25831,1908.819293,9537.739741,8156.29037,61353
10,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,94.49900773,3.316333445,0.060358318,12.57664911,11.63003574,0.262052575,0.262052575,8,1.622551565,10.4752124,2.304862991,109
12,8925.33,151008.1403,35174.64289,3769.352022,24342.42456,20897.26968,6096.001863,5824.84158,79058,5749.64378,27262.91293,17039.27389,333937
13,246.41,7599.58273,1244.080603,371.0069056,133.638114,133.638114,9.109736389,9.109736389,3448,587.4061153,4369.83312,3519.022414,17921
14,794.03,8774.134623,3481.422735,218.1690943,3621.166751,3069.248466,495.3364325,383.3928869,4892,277.2630369,2296.415014,1448.830355,19387
15,1573.43,61547.72744,5086.754725,1074.939383,16825.74685,15067.74273,2565.048624,2222.228302,37283,2252.467272,11364.08266,6945.331415,137154
16,2054.6,80396.92668,6396.657808,724.5890924,23701.65834,22132.73614,14330.38774,13496.46716,38569,1128.53373,9059.660535,7289.68477,147886
17,11883.58,159047.0862,222505.9703,13094.89903,139266.5718,114221.8061,45838.5854,37481.29797,131163,12459.60461,77091.61833,48288.81513,576758
18,2682.76,48619.50708,30141.11602,3070.028118,59085.11899,54355.0813,24890.15161,21812.24522,40207,4769.044743,42046.9241,10420.07165,226327
19,5678.15,75578.052,63510.82714,6038.616434,68661.16513,62974.18145,34965.27969,31781.3803,44300,6523.328669,59702.34952,22940.52125,251699
20,2471.35,33424.6456,13714.93514,1692.612007,9216.654435,6312.15086,4619.021393,3590.483189,30900,2465.007458,13534.02073,6447.725408,90634
21,4111,34261.98177,14647.9549,3150.839009,22817.7041,20360.96713,11394.80189,10006.59779,34163,6710.453686,19805.42131,5591.244159,138476
22,11325.6,95150.64027,32919.8769,3462.55804,40663.40972,32986.07238,27676.72756,21067.54441,170696,5245.489587,34499.72877,21731.17072,413487
23,1469.2,22563.77108,5880.488851,127.1641652,2761.919954,2624.376407,618.0754315,566.5133424,4576,310.5778821,4798.404171,1025.616827,24088
24,5718.01,46893.69581,19387.70303,1916.623442,35554.36657,27191.71178,12682.17861,10248.61335,99739,3271.05733,29539.722,16808.30922,208090
25,24.55,2371.831678,1322.6669,49.47573787,457.5494392,380.2916384,255.6718424,201.3415759,1382,53.15708876,1302.196768,249.3811824,2791
26,165,6221.61791,1200.015051,141.9046005,1414.351357,1289.45006,707.0639013,641.7596435,2634,215.0201207,1956.730439,710.1016144,14621
27,0,1253.317144,309.9945903,21.10730195,562.6086193,520.8740018,94.07330466,88.87815754,961,39.93971028,209.0896268,368.6174694,2673
28,14.35,188.5374793,71.84735129,5.295601389,101.1015196,90.00054896,14.92081759,13.9495811,2600,13.44611309,78.03171808,61.54751946,723
29,5292,38936.40017,11641.68581,1298.288696,20145.82814,18024.57722,13833.06196,12343.23718,48210,2439.730122,10689.80978,10997.5504,190252
