LivestockCensus_2012_Cattle,AreaUnderCereals_Maize,TotalNPK
2567.461578,1129,438.1802096
25037.13927,14867,3036.08025
7729.614277,1987,222.225258
83821.59309,92194,10902.40657
85657.63209,173400,25702.83548
2278.829821,640,220.7829063
71206.94531,59377,8196.896749
104722.0004,43827,10428.24626
37944.09376,24207,2746.313635
40572.44563,25831,8156.29037
0,0,0
94.49900773,8,2.304862991
151008.1403,79058,17039.27389
7599.58273,3448,3519.022414
8774.134623,4892,1448.830355
61547.72744,37283,6945.331415
80396.92668,38569,7289.68477
159047.0862,131163,48288.81513
48619.50708,40207,10420.07165
75578.052,44300,22940.52125
33424.6456,30900,6447.725408
34261.98177,34163,5591.244159
95150.64027,170696,21731.17072
22563.77108,4576,1025.616827
23446.8479,49869.5,8404.154608
2371.831678,1382,249.3811824
6221.61791,2634,710.1016144
1253.317144,961,368.6174694
188.5374793,2600,61.54751946
38936.40017,48210,10997.5504
23446.8479,49869.5,8404.154608
