SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,AreaUnderCereals_Maize_193,TotalNPK_315
4.45,2567.461578,1129,438.1802096
134.73,25037.13927,14867,3036.08025
260.15,7729.614277,1987,222.225258
5004,83821.59309,92194,10902.40657
6124.6,85657.63209,173400,25702.83548
51.5,2278.829821,640,220.7829063
3538.15,71206.94531,59377,8196.896749
3814.02,104722.0004,43827,10428.24626
1639.85,37944.09376,24207,2746.313635
2923.79,40572.44563,25831,8156.29037
0,0,0,0
0,94.49900773,8,2.304862991
8925.33,151008.1403,79058,17039.27389
246.41,7599.58273,3448,3519.022414
794.03,8774.134623,4892,1448.830355
1573.43,61547.72744,37283,6945.331415
2054.6,80396.92668,38569,7289.68477
11883.58,159047.0862,131163,48288.81513
2682.76,48619.50708,40207,10420.07165
5678.15,75578.052,44300,22940.52125
2471.35,33424.6456,30900,6447.725408
4111,34261.98177,34163,5591.244159
11325.6,95150.64027,170696,21731.17072
1469.2,22563.77108,4576,1025.616827
5718.01,46893.69581,99739,16808.30922
24.55,2371.831678,1382,249.3811824
165,6221.61791,2634,710.1016144
0,1253.317144,961,368.6174694
14.35,188.5374793,2600,61.54751946
5292,38936.40017,48210,10997.5504
